,english,spanish,en_pos,es_pos
315,It is good to live where the water and air are clear.,Es bueno vivir en un ambiente donde el agua y el aire son puros. ,PRON VERB ADJ PART VERB ADV DET NOUN CCONJ NOUN VERB ADJ PUNCT ,AUX ADJ VERB ADP DET NOUN PRON DET NOUN CONJ DET NOUN AUX ADJ PUNCT 
316,How's the taste?,¿Cómo es el sabor?,ADV VERB DET NOUN PUNCT ,PUNCT PRON AUX DET NOUN PUNCT 
317,"If you let the ramen sit for too long, it tastes bad.","Si dejas el ramion por mucho tiempo, tiene mal gusto. ",ADP PRON VERB DET NOUN VERB ADP ADV ADV PUNCT PRON VERB ADJ PUNCT ,SCONJ VERB DET NOUN ADP DET NOUN PUNCT VERB ADV NOUN PUNCT 
318,How delicious!,¡Qué delicioso!,ADV ADJ PUNCT ,PUNCT PRON NOUN PUNCT 
319,The correct answer is number 3.,La respuesta correcta es el número 3.,DET ADJ NOUN VERB NOUN NUM PUNCT ,DET NOUN ADJ AUX DET NOUN NUM PUNCT 
320,Did you adjust the clock to Korean time?,¿Ajustaste el reloj al tiempo coreano?,VERB PRON VERB DET NOUN ADP ADJ NOUN PUNCT ,PUNCT VERB DET NOUN ADP NOUN ADJ PUNCT 
321,I guessed two questions correctly.,Respondí las dos preguntas correctamente.,PRON VERB NUM NOUN ADV PUNCT ,VERB DET NUM NOUN ADV PUNCT 
322,I'll take care of this job.,Yo me haré cargo de este trabajo.,PRON AUX VERB NOUN ADP DET NOUN PUNCT ,PRON PRON VERB NOUN ADP DET NOUN PUNCT 
323,It's very cold.,Es muy frío.,PRON VERB ADV ADJ PUNCT ,AUX ADV ADJ PUNCT 
324,I have breakfast everyday.,Desayuno diario.,PRON VERB NOUN ADV PUNCT ,PROPN ADJ PUNCT 
325,I'll have a beer.,Tomaré una cerveza.,PRON AUX VERB DET NOUN PUNCT ,VERB DET NOUN PUNCT 
326,Spicy and salty foods are not good for the body.,Los alimentos picantes y salados no son buenos para el cuerpo.,ADJ CCONJ ADJ NOUN VERB ADV ADJ ADP DET NOUN PUNCT ,DET NOUN ADJ CONJ ADJ ADV AUX ADJ ADP DET NOUN PUNCT 
327,My hair has been falling out since I got hit on the head.,Mi pelo ha estado cayendo desde que me di un golpe en la cabeza.,DET NOUN VERB VERB VERB PART ADP PRON VERB VERB ADP DET NOUN PUNCT ,DET NOUN AUX AUX VERB ADP SCONJ PRON VERB DET NOUN ADP DET NOUN PUNCT 
328,I can't eat anymore.,No puedo comer más.,PRON AUX ADV VERB ADV PUNCT ,ADV AUX VERB ADV PUNCT 
329,Go first.,Ve primero. ,VERB ADV PUNCT ,VERB ADV PUNCT 
330,It's not far from here.,No está lejos de aquí.,PRON VERB ADV ADV ADP ADV PUNCT ,ADV AUX ADV ADP ADV PUNCT 
331,No problem. She can't hear me because she's far away.,Está todo bien. Ella no puede oirme porque está lejos de aquí.,DET NOUN PUNCT PRON AUX ADV VERB PRON ADP PRON VERB ADV ADV PUNCT ,AUX PRON ADV PUNCT PRON ADV AUX NOUN SCONJ AUX ADV ADP ADV PUNCT 
332,Here's the menu.,Aquí está el menú.,ADV VERB DET NOUN PUNCT ,ADV VERB DET NOUN PUNCT 
333,"Do you know when he left here? - Well, I think a few days ago.","¿Sabes cuando él se fue aquí? - No lo sé, pero  pienso que fue hace algunos días atrás.",VERB PRON VERB ADV PRON VERB ADV PUNCT PUNCT INTJ PUNCT PRON VERB DET ADJ NOUN ADV PUNCT ,PUNCT VERB SCONJ PRON PRON VERB ADV PUNCT PUNCT ADV PRON VERB PUNCT CONJ SPACE VERB SCONJ AUX AUX DET NOUN ADV PUNCT 
334,There are two girls there.,Hay dos muchachas allí.,ADV VERB NUM NOUN ADV PUNCT ,AUX NUM NOUN ADV PUNCT 
335,I have several questions. How old are you? How many brothers do you have?,Tengo varias preguntas. ¿Qué edad tienes? ¿Cuántos hermanos tienes?,PRON VERB ADJ NOUN PUNCT ADV ADJ VERB PRON PUNCT ADV ADJ NOUN VERB PRON VERB PUNCT ,VERB DET NOUN PUNCT PUNCT DET NOUN NOUN PUNCT PUNCT NOUN NOUN ADJ PUNCT 
336,This time is a good chance to get all together.,Esta vez es una buena ocasión de estar todos juntos.,DET NOUN VERB DET ADJ NOUN PART VERB ADV ADV PUNCT ,DET NOUN AUX DET ADJ NOUN ADP AUX DET ADJ PUNCT 
337,Every employee knows about it.,Todos los empleados lo saben.,DET NOUN VERB ADP PRON PUNCT ,DET DET NOUN PRON VERB PUNCT 
338,It was clear that he did not know me.,Estaba claro que él no me conocía.,PRON VERB ADJ ADP PRON VERB ADV VERB PRON PUNCT ,AUX ADV SCONJ PRON ADV PRON VERB PUNCT 
339,His figure disappeared into the darkness.,Su figura desapareció en la oscuridad.,DET NOUN VERB ADP DET NOUN PUNCT ,DET NOUN VERB ADP DET NOUN PUNCT 
340,These products are different in shape.,Estos productos son diferentes en forma.,DET NOUN VERB ADJ ADP NOUN PUNCT ,DET NOUN AUX ADJ ADP NOUN PUNCT 
341,How long have you collected coins?,¿En cuánto tiempo has recogido las monedas?,ADV ADV VERB PRON VERB NOUN PUNCT ,PUNCT ADP NUM NOUN AUX VERB DET NOUN PUNCT 
342,The children gathered on the playground.,Los niños están reunidos en el patio.,DET NOUN VERB ADP DET NOUN PUNCT ,DET NOUN AUX ADJ ADP DET NOUN PUNCT 
343,Will you attend the meeting?,¿Assistirás a la reunión?,VERB PRON VERB DET NOUN PUNCT ,PUNCT VERB ADP DET NOUN PUNCT 
344,Is she wearing a cap?,¿Ella está usando un casquillo?,VERB PRON VERB DET NOUN PUNCT ,PUNCT PRON AUX VERB DET NOUN PUNCT 
345,He was involved in a car accident and now his neck is in a cast.,Él tiene su cuello vendado porque tuvo un accidente de tráfico. ,PRON VERB VERB ADP DET NOUN NOUN CCONJ ADV DET NOUN VERB ADP DET NOUN PUNCT ,PRON VERB DET NOUN ADJ SCONJ VERB DET NOUN ADP NOUN PUNCT 
346,I can’t forget her beautiful voice.,No puedo olvidarme de su hermosa voz.,PRON AUX ADV VERB DET ADJ NOUN PUNCT ,ADV AUX NOUN ADP DET ADJ NOUN PUNCT 
347,My kids like taking a bath.,A mis niños les gusta bañarse.,DET NOUN ADP VERB DET NOUN PUNCT ,ADP DET NOUN PRON VERB VERB PUNCT 
348,What is the purpose of your visit?,¿Cuál es el propósito de tu visita?,PRON VERB DET NOUN ADP DET NOUN PUNCT ,PUNCT PRON AUX DET NOUN ADP DET NOUN PUNCT 
349,"Though present in body, your mind is elsewhere.","Tu cuerpo esta aquí, pero tu mente está en otra parte.",ADP ADJ ADP NOUN PUNCT DET NOUN VERB ADV PUNCT ,DET NOUN DET ADV PUNCT CONJ DET NOUN VERB ADP DET NOUN PUNCT 
350,Hyean can not eat or sleep these days.,Hyean estos días no puede comer ni dormir.,PROPN VERB ADV VERB CCONJ VERB DET NOUN PUNCT ,VERB DET NOUN ADV AUX VERB CONJ VERB PUNCT 
351,I am poor at singing.,No soy buen cantor.,PRON VERB ADJ ADP NOUN PUNCT ,ADV AUX ADJ NOUN PUNCT 
352,This bag is so heavy.,Este bolso es muy pesado.,DET NOUN VERB ADV ADJ PUNCT ,DET NOUN AUX ADV ADJ PUNCT 
353,"Have you seen Scary Movie""? I was not scared at all.""""ave you seen ""Scary Movie""? I was not """"ve you seen ""Scary Movie""""e you seen """,¿Has visto “Película de Terror”? No me austó ni un poco.,VERB PRON VERB PROPN PROPN PUNCT PUNCT PRON VERB ADV VERB ADP NOUN PRON VERB PUNCT PROPN PROPN PUNCT PUNCT PRON VERB ADV PUNCT PUNCT ADP PRON VERB PUNCT PROPN PROPN PRON VERB PUNCT ,PUNCT ADV VERB PROPN PROPN ADP PROPN PROPN PUNCT ADV PRON VERB ADV DET PRON PUNCT 
354,What kind of work do you do?,¿Qué clase de trabajo haces?,DET NOUN ADP NOUN VERB PRON VERB PUNCT ,PUNCT DET NOUN ADP NOUN NOUN PUNCT 
355,What is that?,¿Cuál es eso?,PRON VERB DET PUNCT ,PUNCT PRON AUX PRON PUNCT 
356,Lock the door.,Cierra la puerta.,VERB DET NOUN PUNCT ,VERB DET NOUN PUNCT 
357,Skip the difficult question and solve the others first.,Salta la preguntas difíciles y soluciona las otras primero.,VERB DET ADJ NOUN CCONJ VERB DET NOUN ADV PUNCT ,VERB DET NOUN ADJ CONJ VERB DET DET ADJ PUNCT 
358,I was not familiar with the culture here in the first time I came here.,La primera vez que vine aquí no me acostumbraba a la cultura.,PRON VERB ADV ADJ ADP DET NOUN ADV ADP DET ADJ NOUN PRON VERB ADV PUNCT ,DET ADJ NOUN PRON VERB ADV ADV PRON VERB ADP DET NOUN PUNCT 
359,Asking for directions is hard for me to do.,Para mi es difícil preguntar las direcciones.,VERB ADP NOUN VERB ADJ ADP PRON PART VERB PUNCT ,ADP DET AUX ADJ VERB DET NOUN PUNCT 
360,A car drove by and splashed water on me.,Un coche condujo cerca de mí y me salpicó todo el agua.,DET NOUN VERB ADV CCONJ ADJ NOUN ADP PRON PUNCT ,DET NOUN VERB ADV ADP PRON CONJ PRON VERB DET DET NOUN PUNCT 
361,Give the stuff back after using it.,Devolver el material luego de usarlo.,VERB DET NOUN ADV ADP VERB PRON PUNCT ,VERB DET NOUN ADV ADP NOUN PUNCT 
362,"I'll pay you back in time, of course, it'll be in cash.","Te pagaré a tiempo, por supuesto, será en efectivo.",PRON AUX VERB PRON ADV ADP NOUN PUNCT ADP NOUN PUNCT PRON AUX VERB ADP NOUN PUNCT ,PRON VERB ADP NOUN PUNCT ADP NOUN PUNCT AUX ADP ADJ PUNCT 
363,Can I ask you a question?,¿Puedo hacerte una pregunta?,VERB PRON VERB PRON DET NOUN PUNCT ,PUNCT AUX NOUN DET NOUN PUNCT 
364,She had a baby in the U.S.,Ella dio luz a un bebe en Estados Unidos.,PRON VERB DET NOUN ADP DET PROPN ,PRON VERB NOUN ADP DET NOUN ADP PROPN PROPN PUNCT 
365,I'm so sorry.,Realmente perdón.,PRON VERB ADV ADJ PUNCT ,ADV NOUN PUNCT 
366,"Look, I think that guy is over two meters tall.","Mira, yo pienso que el individuo que esta allí debe medir cerca de dos metros.",VERB PUNCT PRON VERB ADP NOUN VERB ADP NUM NOUN ADJ PUNCT ,VERB PUNCT PRON VERB SCONJ DET NOUN PRON DET ADV AUX VERB ADV ADP NUM NOUN PUNCT 
367,Don't believe me if you don't want to.,"Si no quieres creerme, no me creas.",VERB ADV VERB PRON ADP PRON VERB ADV VERB PART PUNCT ,SCONJ ADV VERB VERB PUNCT ADV PRON VERB PUNCT 
368,The ship sank to the bottom of the sea.,La nave se hundió al fondo del mar.,DET NOUN VERB ADP DET NOUN ADP DET NOUN PUNCT ,DET NOUN PRON VERB ADP NOUN ADP NOUN PUNCT 
369,Do you know how to change a tire?,¿Sabes cambiar un neumático?,VERB PRON VERB ADV PART VERB DET NOUN PUNCT ,PUNCT VERB VERB DET NOUN PUNCT 
370,The lights changed to green.,Las luces se cambiaron a verde.,DET NOUN VERB ADP ADJ PUNCT ,DET NOUN PRON VERB ADP ADJ PUNCT 
371,I would like to go to the sea with my friends in the winter.,Quisiera ir al mar con mis amigos en el invierno.,PRON VERB VERB PART VERB ADP DET NOUN ADP DET NOUN ADP DET NOUN PUNCT ,VERB VERB ADP NOUN ADP DET NOUN ADP DET NOUN PUNCT 
372,I hope you will get better soon.,Espero que pronto consigas ponerte mejor.,PRON VERB PRON VERB VERB ADJ ADV PUNCT ,VERB SCONJ ADV VERB VERB ADV PUNCT 
373,A couple was looking at each other lovingly.,Cierta pareja se están mirando cariñosamente.,DET NOUN VERB VERB ADP DET ADJ ADV PUNCT ,DET NOUN PRON AUX VERB ADJ PUNCT 
374,The wind has stopped.,El viento ha parado.,DET NOUN VERB VERB PUNCT ,DET NOUN AUX VERB PUNCT 
375,The game was canceled because of the rain.,El partido fue cancelado debido a la lluvia.,DET NOUN VERB VERB ADP ADP DET NOUN PUNCT ,DET NOUN AUX VERB ADJ ADP DET NOUN PUNCT 
376,I'm coming right away.,Estoy llendo enseguida. ,PRON VERB VERB ADV ADV PUNCT ,AUX VERB ADV PUNCT 
377,Why are you so busy these days?,¿Por qué estás tan ocupado ultimamente?,ADV VERB PRON ADV ADJ DET NOUN PUNCT ,PUNCT ADP PRON AUX ADV ADJ ADV PUNCT 
378,I found a nice pair of pants to match my sweater.,Encontré unos pantalones que hace juego con mi suéter.,PRON VERB DET ADJ NOUN ADP NOUN PART VERB DET NOUN PUNCT ,VERB DET NOUN PRON VERB NOUN ADP DET VERB PUNCT 
379,Have you been to the national museum in Kwacheon?,¿Has estado en el museo nacional en Kwacheon?,VERB PRON VERB ADP DET ADJ NOUN ADP PROPN PUNCT ,PUNCT ADJ NOUN ADP DET NOUN ADJ ADP PROPN PUNCT 
380,Is it snowing outside?,¿Está nevando afuera?,VERB PRON VERB ADV PUNCT ,PUNCT AUX VERB VERB PUNCT 
381,Mix in half a cup of water.,Vierte media taza de agua y bate.,VERB ADP DET DET NOUN ADP NOUN PUNCT ,VERB NUM NOUN ADP NOUN CONJ NOUN PUNCT 
382,They were in the same class in fifth grade.,Estaban en la misma clase en quinto grado.,PRON VERB ADP DET ADJ NOUN ADP ADJ NOUN PUNCT ,VERB ADP DET DET NOUN ADP ADJ NOUN PUNCT 
383,Glad to meet you.,Gusto en conocerlo. ,ADJ PART VERB PRON PUNCT ,NOUN ADP NOUN PUNCT 
384,My sister is the complete opposite of me.,Mi hermana es completamente opuesta a mí.,DET NOUN VERB DET ADJ NOUN ADP PRON PUNCT ,DET NOUN AUX ADV ADJ ADP PRON PUNCT 
385,I get dozens of spam mail everyday.,Recibo docenas de correos no desados diariamente.,PRON VERB NOUN ADP NOUN NOUN ADV PUNCT ,VERB NOUN ADP NOUN ADV ADJ ADV PUNCT 
386,I'll take it as a compliment.,Lo tomaré como elogio.,PRON AUX VERB PRON ADP DET NOUN PUNCT ,PRON VERB SCONJ NOUN PUNCT 
387,Somebody stepped on my foot.,Alguien caminó en mi pie.,NOUN VERB ADP DET NOUN PUNCT ,PRON VERB ADP DET NOUN PUNCT 
388,The city has developed rapidly over the past 20 years.,La ciudad ha progresado rápidamente durante los últimos 20 años.,DET NOUN VERB VERB ADV ADP DET ADJ NUM NOUN PUNCT ,DET NOUN AUX VERB ADV ADP DET ADJ NUM NOUN PUNCT 
389,No one knew such a big problem would occur.,Nadie hubiese sabido que iba a ocurrir un problema tan grande.,DET NOUN VERB DET DET ADJ NOUN VERB VERB PUNCT ,PRON AUX VERB SCONJ AUX ADP VERB DET NOUN ADV ADJ PUNCT 
390,There are two pronunciations of this word.,Hay dos pronunciaciones en esta palabra.,ADV VERB NUM NOUN ADP DET NOUN PUNCT ,AUX NUM NOUN ADP DET NOUN PUNCT 
391,The desk lamp is so bright it hurts my eyes.,La lámpara del escritorio es tan luminoso que  lastima mis ojos.,DET NOUN NOUN VERB ADV ADJ PRON VERB DET NOUN PUNCT ,DET NOUN ADP NOUN AUX ADV ADJ SCONJ SPACE ADJ DET NOUN PUNCT 
392,I sleep during the day and wake up at night.,Duermo durante el día y me despierto a la noche.,PRON VERB ADP DET NOUN CCONJ VERB PART ADP NOUN PUNCT ,NOUN ADP DET NOUN CONJ PRON VERB ADP DET NOUN PUNCT 
393,How about some more rice?,¿Qué tal un poco más de arroz?,ADV ADP DET ADJ NOUN PUNCT ,PUNCT PRON PRON DET ADV ADV ADP NOUN PUNCT 
394,I want to have a meeting in this room.,Deseo tener una reunión en este cuarto.,PRON VERB PART VERB DET NOUN ADP DET NOUN PUNCT ,VERB VERB DET NOUN ADP DET NOUN PUNCT 
395,Isn't there a quicker way to become rich?,¿No hay una manera más rápida de llegar a ser rico?,VERB ADV ADV DET ADJ NOUN PART VERB ADJ PUNCT ,PUNCT ADV AUX DET NOUN ADV ADJ ADP AUX ADP AUX ADJ PUNCT 
396,I have to do this vacation homework today.,Hoy tengo que hacer  la tarea de vacaciones.,PRON VERB PART VERB DET NOUN NOUN NOUN PUNCT ,ADV VERB SCONJ VERB SPACE DET NOUN ADP NOUN PUNCT 
397,I am so hungry that my stomach is growling.,Tengo tan hambre que mi estómago está gruñiendo.,PRON VERB ADV ADJ ADP DET NOUN VERB VERB PUNCT ,VERB ADV NOUN SCONJ DET NOUN AUX VERB PUNCT 
398,Please get off the ship carefully.,Descender cuidadosamente de la  nave.,INTJ VERB ADP DET NOUN ADV PUNCT ,VERB ADV ADP DET SPACE ADJ PUNCT 
399,I developed a stomachache after I ate the pear in the ship.,Comí una pera en la nave y ahora me duele el estómago.,PRON VERB DET NOUN ADP PRON VERB DET NOUN ADP DET NOUN PUNCT ,VERB DET NOUN ADP DET NOUN CONJ ADV PRON VERB DET NOUN PUNCT 
400,I am so hungry. I can eat a horse.,Tengo tan hambre que hasta puedo comerme un caballo.,PRON VERB ADV ADJ PUNCT PRON VERB VERB DET NOUN PUNCT ,VERB ADV NOUN SCONJ ADP AUX ADJ DET NOUN PUNCT 
401,"I'm so full, I can't eat any more.",Estoy tan completo que ya no puedo comer más. ,PRON VERB ADV ADJ PUNCT PRON AUX ADV VERB DET ADJ PUNCT ,AUX ADV ADJ SCONJ ADV ADV AUX VERB ADV PUNCT 
402,My new year's resolution is to learn how to drive.,Mi resolución del Año Nuevo es aprender a conducir.,DET ADJ NOUN PART NOUN VERB PART VERB ADV PART VERB PUNCT ,DET NOUN ADP PROPN ADJ AUX AUX ADP VERB PUNCT 
403,Let's go shopping at the department store.,Vayamos a hacer compras en el almacén grande.,VERB PRON VERB NOUN ADP DET NOUN NOUN PUNCT ,AUX ADP VERB NOUN ADP DET NOUN ADJ PUNCT 
404,Somebody threw away the gabage.,Alguien tiró la basura.,NOUN VERB ADV DET NOUN PUNCT ,PRON VERB DET NOUN PUNCT 
405,Get on the bus for Seoul.,Coger un autobús que va para Seoul.,VERB ADP DET NOUN ADP PROPN PUNCT ,VERB DET NOUN PRON VERB ADP PROPN PUNCT 
406,I take a shower twice a day.,Tomo una ducha dos veces al día.,PRON VERB DET NOUN ADV DET NOUN PUNCT ,VERB DET NOUN NUM NOUN ADP NOUN PUNCT 
407,You dialed the wrong number.,Marcaste a un número incorrecto.,PRON VERB DET ADJ NOUN PUNCT ,PROPN ADP DET NOUN ADJ PUNCT 
408,I'll take care of the children if you make money.,Tú ganas dinero y yo me haré cargo de lo niños.,PRON AUX VERB NOUN ADP DET NOUN ADP PRON VERB NOUN PUNCT ,PRON NOUN NOUN CONJ PRON PRON VERB NOUN ADP DET NOUN PUNCT 
409,Are you leaving already?,¿Ya te estás yendo?,VERB PRON VERB ADV PUNCT ,PUNCT ADV PRON AUX VERB PUNCT 
410,I've never broken the law.,Nunca quebranto la ley.,PRON VERB ADV VERB DET NOUN PUNCT ,ADV VERB DET NOUN PUNCT 
411,Why don't you take off your hat?,¿Por qué no te sacas tu sombrero?,ADV VERB ADV PRON VERB PART DET NOUN PUNCT ,PUNCT ADP PRON ADV PRON VERB DET NOUN PUNCT 
412,You've changed a lot.,Has cambiado mucho.,PRON VERB VERB DET NOUN PUNCT ,VERB VERB ADV PUNCT 
413,Why can't we see the stars during the day?,¿Por qué no podemos ver las estrellas durante el día?,ADV AUX ADV PRON VERB DET NOUN ADP DET NOUN PUNCT ,PUNCT ADP PRON ADV AUX VERB DET NOUN ADP DET NOUN PUNCT 
414,How do you feel? - Not good.,¿Cómo te sientes? - No muy bien.,ADV VERB PRON VERB PUNCT PUNCT ADV ADJ PUNCT ,PUNCT PRON PRON VERB PUNCT PUNCT ADV ADV ADV PUNCT 
415,I drank a whole bottle of wine and drove.,Bebí una botella entera de vino y conduje.,PRON VERB DET ADJ NOUN ADP NOUN CCONJ VERB PUNCT ,VERB DET NOUN ADJ ADP NOUN CONJ NOUN PUNCT 
416,He suffered from a terrible disease last year.,Él sufrió de una enfermedad terrible el año pasado.,PRON VERB ADP DET ADJ NOUN ADJ NOUN PUNCT ,PRON VERB ADP DET NOUN ADJ DET NOUN ADJ PUNCT 
417,My grandmother is in the hospital.,Mi abuela está en el hospital.,DET NOUN VERB ADP DET NOUN PUNCT ,DET NOUN VERB ADP DET NOUN PUNCT 
418,He sent 100 roses on my birthday.,Él envió 100 rosas en mi cumpleaños.,PRON VERB NUM NOUN ADP DET NOUN PUNCT ,PRON VERB NUM NOUN ADP DET NOUN PUNCT 
419,Stop looking in the mirror.,Para de mirarte en  el espejo.,VERB VERB ADP DET NOUN PUNCT ,ADP ADP NOUN ADP SPACE DET NOUN PUNCT 
420,We should find a more practical way.,Debemos encontrar una manera más práctica.,PRON VERB VERB DET ADV ADJ NOUN PUNCT ,AUX VERB DET NOUN ADV ADJ PUNCT 
421,You look sad today.,Pareces triste hoy.,PRON VERB ADJ NOUN PUNCT ,NOUN ADJ ADV PUNCT 
422,What time do you usually go to bed?,¿Cuándo te vas a la cama usalmente?,DET NOUN VERB PRON ADV VERB ADP NOUN PUNCT ,PUNCT PRON PRON VERB ADP DET NOUN ADV PUNCT 
423,This necklace will protect you.,Este collar te protegerá.,DET NOUN VERB VERB PRON PUNCT ,DET NOUN PRON VERB PUNCT 
424,Don't make things more complicated.,No hacer las cosas aun más complicadas.,VERB ADV VERB NOUN ADV ADJ PUNCT ,ADV VERB DET NOUN ADV ADV ADJ PUNCT 
425,Do you have a ballpoint pen?,¿Tienes un bolígrafo?,VERB PRON VERB DET NOUN NOUN PUNCT ,PUNCT VERB DET NOUN PUNCT 
426,Winter is gone and spring is arriving.,Se va el invierno y la primavera está llegando.,NOUN VERB VERB CCONJ NOUN VERB VERB PUNCT ,PRON VERB DET NOUN CONJ DET NOUN AUX VERB PUNCT 
427,This cat has very soft fur.,El pelo de este gato es muy  suave.,DET NOUN VERB ADV ADJ NOUN PUNCT ,DET NOUN ADP DET NOUN AUX ADV SPACE ADJ PUNCT 
428,I heard someone calling my name.,Oí a alguien llamar mi nombre.,PRON VERB NOUN VERB DET NOUN PUNCT ,VERB ADP PRON VERB DET NOUN PUNCT 
429,She lost her parents in a car accident.,Ella perdió a sus padres en un accidente de coche.,PRON VERB DET NOUN ADP DET NOUN NOUN PUNCT ,PRON VERB ADP DET NOUN ADP DET NOUN ADP NOUN PUNCT 
430,"These days, many couples don't want to have kids.","Actualmente, muchas parejas no desean tener hijos.",DET NOUN PUNCT ADJ NOUN VERB ADV VERB PART VERB NOUN PUNCT ,ADV PUNCT DET NOUN ADV VERB VERB NOUN PUNCT 
431,What was your favorite part in that movie?,¿Cuál fue la mejor parte de la película?,PRON VERB DET ADJ NOUN ADP DET NOUN PUNCT ,PUNCT PRON AUX DET ADJ NOUN ADP DET NOUN PUNCT 
432,There is some rice cake in the kitchen.,Hay un poco de torta del arroz en la cocina.,ADV VERB DET NOUN NOUN ADP DET NOUN PUNCT ,AUX DET PRON ADP NOUN ADP NOUN ADP DET NOUN PUNCT 
433,Where is your wife? Didn't you come with her?,¿Dónde está tu esposa? ¿No viniste con ella?,ADV VERB DET NOUN PUNCT VERB ADV PRON VERB ADP PRON PUNCT ,PUNCT PRON VERB DET NOUN PUNCT PUNCT ADV VERB ADP PRON PUNCT 
434,Just walk toward the north. ,Camina por el Norte.,ADV VERB ADP DET NOUN PUNCT ,PROPN ADP DET PROPN PUNCT 
435,How many in your party? - Three.,¿Cuántas personas son?- Tres personas en total.,ADV ADJ ADP DET NOUN PUNCT PUNCT NUM PUNCT ,PUNCT DET NOUN VERB NUM NOUN ADP NOUN PUNCT 
436,What time is it? - It's three forty.,¿Qué hora es?- Son las tres y cuarenta y cinco minutos.,DET NOUN VERB PRON PUNCT PUNCT PRON VERB NUM NUM PUNCT ,PUNCT DET NOUN NOUN AUX DET NUM CONJ NUM CONJ NUM NOUN PUNCT 
437,I like the atmosphere here.,Me gusta la atmósfera  de aquí.,PRON VERB DET NOUN ADV PUNCT ,PRON VERB DET ADJ SPACE ADP ADV PUNCT 
438,There must be a fire.,Debe de haberse prendido fuego.,ADV VERB VERB DET NOUN PUNCT ,AUX ADP NOUN ADJ NOUN PUNCT 
439,Bulgogi is popular with foreigners.,Bulgogi es popular entre los extranjeros.,PROPN VERB ADJ ADP NOUN PUNCT ,PROPN AUX ADJ ADP DET NOUN PUNCT 
440,The wind is blowing from the south to the north.,El viento está soplando del Sur al Norte.,DET NOUN VERB VERB ADP DET NOUN ADP DET NOUN PUNCT ,DET NOUN AUX VERB ADP PROPN ADP PROPN PUNCT 
441,I have gum stuck in my hair.,Tienes goma de mascar pegado en el pelo. ,PRON VERB NOUN VERB ADP DET NOUN PUNCT ,VERB NOUN ADP VERB ADJ ADP DET NOUN PUNCT 
442,Did you stick a stamp on the envelope?,¿Pegaste una estampilla en el sobre?,VERB PRON VERB DET NOUN ADP DET NOUN PUNCT ,PUNCT VERB DET NOUN ADP DET NOUN PUNCT 
443,I think I caught a cold because I walked in the rain.,Caminé por la lluvia y me agarró un resfriado.,PRON VERB PRON VERB DET NOUN ADP PRON VERB ADP DET NOUN PUNCT ,VERB ADP DET NOUN CONJ PRON VERB DET NOUN PUNCT 
444,Soap makes my skin dry.,El jabón me seca la piel.,NOUN VERB DET NOUN ADJ PUNCT ,DET NOUN PRON VERB DET NOUN PUNCT 
445,He can't live without video games.,Él no puede vivir sin los video juegos.,PRON AUX ADV VERB ADP NOUN NOUN PUNCT ,PRON ADV AUX VERB ADP DET NOUN NOUN PUNCT 
446,I don't like bibimbap very much.,No me gusta mucho el bibimbap.,PRON VERB ADV VERB VERB ADV ADV PUNCT ,ADV PRON VERB ADV DET NOUN PUNCT 
447,"The married couple has a similar hobby, sleeping.",Cuando dormimos nuestra pareja tenemos costumbres similares.,DET ADJ NOUN VERB DET ADJ NOUN PUNCT VERB PUNCT ,SCONJ VERB DET NOUN VERB NOUN ADJ PUNCT 
448,Isn't it too expensive? Look for something cheaper.,¿No es muy caro? Consíguete algo mas barato.,VERB ADV PRON ADV ADJ PUNCT VERB ADP NOUN ADJ PUNCT ,PUNCT ADV AUX ADV ADJ PUNCT PROPN PRON ADV ADJ PUNCT 
449,The plane will take off in 5 minutes.,El avión despegará en 5 minutos.,DET NOUN VERB VERB PART ADP NUM NOUN PUNCT ,DET NOUN VERB ADP NUM NOUN PUNCT 
450,What's that little light in the sky?,¿Qué es esa pequeña luz que brilla en el cielo?,PRON VERB DET ADJ NOUN ADP DET NOUN PUNCT ,PUNCT PRON AUX DET ADJ NOUN PRON VERB ADP DET NOUN PUNCT 
451,Let's ask people walking by. It's faster.,"Preguntemos a la gente que pasa, va ser mas rápido.",VERB PRON VERB NOUN VERB ADV PUNCT PRON VERB ADJ PUNCT ,VERB ADP DET NOUN PRON VERB PUNCT AUX AUX ADV ADJ PUNCT 
452,I'm worried that you'll fall in the water by accident.,Me preocupa que caigas al agua y tengas un accidente.,PRON VERB ADJ ADP PRON AUX VERB ADP DET NOUN ADP NOUN PUNCT ,PRON VERB SCONJ VERB ADP NOUN CONJ NOUN DET NOUN PUNCT 
453,The red dress looks good on you.,El vestido rojo te queda muy lindo.,DET ADJ NOUN VERB ADJ ADP PRON PUNCT ,DET NOUN ADJ PRON VERB ADV VERB PUNCT 
454,How many times should I rinse this laundry?,¿Cuántas veces debo aclarar este lavadero?,ADV ADJ NOUN VERB PRON VERB DET NOUN PUNCT ,PUNCT DET NOUN AUX VERB DET NOUN PUNCT 
455,I can't hurry up. I'm going as fast as I can.,"No puedo apresurarme más, voy tan rápido como puedo.",PRON AUX ADV VERB PART PUNCT PRON VERB VERB ADV ADV ADP PRON VERB PUNCT ,ADV AUX ADV ADV PUNCT VERB ADV ADJ SCONJ NOUN PUNCT 
456,"Actually, bread has many calories.","Realmente, el pan tiene muchas calorías.",ADV PUNCT NOUN VERB ADJ NOUN PUNCT ,ADV PUNCT DET NOUN VERB DET NOUN PUNCT 
