,english,spanish,en_poss,en_tags,es_poss,es_tags
496,Can you explain what happened?,¿Puedes explicar qué sucedió?,VERB PRON VERB PRON VERB PUNCT ,MD PRP VB WP VBD . ,PUNCT AUX AUX PRON VERB PUNCT ,. VBP TO VB WP VBD . 
497,Do you take sugar in your coffee?,¿Tomas el azúcar en tu café?,VERB PRON VERB NOUN ADP DET NOUN PUNCT ,VBP PRP VB NN IN PRP$ NN . ,PUNCT VERB DET NOUN ADP DET NOUN PUNCT ,. VBP DT NN IN PRP$ NN . 
498,Many couples get divorced because of their personality differences.,Muchas parejas consiguen divorciarse porque tienen diferentes personalidades.,ADJ NOUN VERB VERB ADP ADP DET NOUN NOUN PUNCT ,JJ NNS VBP VBN IN IN PRP$ NN NNS . ,DET NOUN VERB VERB SCONJ VERB DET NOUN PUNCT ,DT NNS VBP TO VB IN VBP DT NNS . 
499,"At the age of 15, he entered university.","En la edad de 15, él entró en la universidad.",ADP DET NOUN ADP NUM PUNCT PRON VERB NOUN PUNCT ,"IN DT NN IN CD , PRP VBD NN . ",ADP DET NOUN ADP NUM PUNCT PRON VERB ADP DET NOUN PUNCT ,"IN DT NN IN CD , PRP VBD IN DT NN . "
500,The First World War,La  primera Guerra Mundial.,DET PROPN PROPN PROPN ,DT NNP NNP NNP ,DET SPACE ADJ PROPN PROPN PUNCT ,DT _SP JJ NNP NNP . 
501,What a small world!,¡Qué mundo pequeño!,DET DET ADJ NOUN PUNCT ,WDT DT JJ NN . ,PUNCT DET NOUN ADJ PUNCT ,. WDT NN JJ . 
502,You need to go wash your face.,Ve a lavarte la cara.,PRON VERB PART VERB VERB DET NOUN PUNCT ,PRP VBP TO VB VB PRP$ NN . ,VERB ADP VERB DET NOUN PUNCT ,VBZ IN TO VB DT NN . 
503,Make the students stand in a row.,Para a los estudiantes en una fila. ,VERB DET NOUN VERB ADP DET NOUN PUNCT ,VB DT NNS VB IN DT NN . ,ADP ADP DET NOUN ADP DET NOUN PUNCT ,IN IN DT NNS IN DT NN . 
504,This washing machine doesn't work. Did you turn it on?,Esta lavadora no funciona. ¿La prendiste?,DET NOUN NOUN VERB ADV VERB PUNCT VERB PRON VERB PRON PART PUNCT ,DT NN NN VBZ RB VB . VBD PRP VB PRP RP . ,DET NOUN ADV VERB PUNCT PUNCT DET VERB PUNCT ,DT NN RB VBZ . . DT VBZ . 
505,"Those shoes make you look 5 centimeters taller, sir.",Estos zapatos hacen verte unos cinco centímetros más alta.,DET NOUN VERB PRON VERB NUM NOUN ADJ PUNCT NOUN PUNCT ,"DT NNS VBP PRP VB CD NNS JJR , NN . ",DET NOUN VERB VERB PRON NUM NOUN ADV ADJ PUNCT ,DT NNS VBP VBZ DT CD NNS RB JJ . 
506,Let me introduce myself.,Déjenme introducirme.,VERB PRON VERB PRON PUNCT ,VB PRP VB PRP . ,VERB ADJ PUNCT ,VBP JJ . 
507,"If it's too bland, add some salt.","Está demasiado aguado, agrégale un poco mas de sal. ",ADP PRON VERB ADV ADJ PUNCT VERB DET NOUN PUNCT ,"IN PRP VBZ RB JJ , VBP DT NN . ",AUX ADV ADJ PUNCT VERB DET ADV NOUN ADP NOUN PUNCT ,"VBZ RB JJ , VBZ DT RB NNS IN NN . "
508,"When the concert starts, please don't make any sounds.","Cuando comienze el concierto, haga el favor de no hacer ruido.",ADV DET NOUN VERB PUNCT INTJ VERB ADV VERB DET NOUN PUNCT ,"WRB DT NN VBZ , UH VB RB VB DT NNS . ",SCONJ VERB DET NOUN PUNCT VERB DET NOUN ADP ADV VERB NOUN PUNCT ,"IN VBD DT NN , VBZ DT NN IN RB TO VB NN . "
509,I usually read novels in my free time.,"Generalmente, en mi tiempo libre suelo leer novelas.",PRON ADV VERB NOUN ADP DET ADJ NOUN PUNCT ,PRP RB VBP NNS IN PRP$ JJ NN . ,ADV PUNCT ADP DET NOUN ADJ AUX VERB NOUN PUNCT ,"RB , IN PRP$ NN JJ VBP TO VB NNS . "
510,I have some good news for you.,Tengo algunas buenas noticias para ti.,PRON VERB DET ADJ NOUN ADP PRON PUNCT ,PRP VBP DT JJ NN IN PRP . ,VERB DET ADJ NOUN ADP PRON PUNCT ,VBP DT JJ NNS IN PRP . 
511,"When I returned home, my husband was cleaning the sofa.","Cuando volví a casa, mi marido limpiaba el sofá.",ADV PRON VERB ADV PUNCT DET NOUN VERB VERB DET NOUN PUNCT ,"WRB PRP VBD RB , PRP$ NN VBD VBG DT NN . ",SCONJ VERB ADP NOUN PUNCT DET NOUN VERB DET NOUN PUNCT ,"IN VBD IN NN , PRP$ NN VBD DT NN . "
512,Where would you like to go for a picnic?,¿Dónde quieres ir de picnic?,ADV VERB PRON VERB PART VERB ADP DET NOUN PUNCT ,WRB MD PRP VB TO VB IN DT NN . ,PUNCT PRON VERB AUX ADP NOUN PUNCT ,. WDT VBP TO VB IN NN . 
513,The author signed the inside cover of the book.,El autor firmó la cubierta interior del libro.,DET NOUN VERB DET ADJ NOUN ADP DET NOUN PUNCT ,DT NN VBD DT JJ NN IN DT NN . ,DET NOUN VERB DET NOUN ADJ ADP NOUN PUNCT ,DT NN VBD DT NN JJ IN NN . 
514,They are walking hand in hand. I'm sure they are dating.,Están caminando de la mano. Es obvio que los dos están saliendo. ,PRON VERB VERB NOUN ADP NOUN PUNCT PRON VERB ADJ PRON VERB VERB PUNCT ,PRP VBP VBG NN IN NN . PRP VBP JJ PRP VBP VBG . ,AUX VERB ADP DET NOUN PUNCT AUX ADJ SCONJ DET NUM AUX VERB PUNCT ,VBP VBG IN DT NN . VBZ JJ IN DT CD VBP VBG . 
515,My mother pointed out the mountain with her finger.,Mi madre precisó la montaña con su dedo.,DET NOUN VERB PART DET NOUN ADP DET NOUN PUNCT ,PRP$ NN VBD RP DT NN IN PRP$ NN . ,DET NOUN VERB DET NOUN ADP DET NOUN PUNCT ,PRP$ NN VBD DT NN IN PRP$ NN . 
516,The customer is always right.,El cliente siempre tiene la razón.,DET NOUN VERB ADV ADJ PUNCT ,DT NN VBZ RB JJ . ,DET NOUN ADV VERB DET NOUN PUNCT ,DT NN RB VBZ DT NN . 
517,"Which is cheaper, beef or pork?","¿Cuál es más barato, la carne de vaca o la de cerdo?",DET VERB ADJ PUNCT NOUN CCONJ NOUN PUNCT ,"WDT VBZ JJR , NN CC NN . ",PUNCT PRON AUX ADV ADJ PUNCT DET NOUN ADP NOUN CCONJ DET ADP NOUN PUNCT ,". WP VBZ RB JJ , DT NN IN NN CC DT IN NN . "
518,It's hard for me to go shopping with my girlfriend.,Es duro que vaya a hacer compras con mi novia.,PRON VERB ADJ ADP PRON PART VERB VERB ADP DET NOUN PUNCT ,PRP VBZ JJ IN PRP TO VB VBG IN PRP$ NN . ,AUX ADJ PRON AUX ADP VERB NOUN ADP DET NOUN PUNCT ,VBZ JJ DT VBZ IN TO VB NNS IN PRP$ NN . 
519,There's no other way but to just wait.,No hay otra posibilidad que esperar.,ADV VERB DET ADJ NOUN ADP PART ADV VERB PUNCT ,EX VBZ DT JJ NN IN TO RB VB . ,ADV AUX DET NOUN SCONJ VERB PUNCT ,RB VBZ DT NN IN TO VB . 
520,Do you have a towel to dry your hair with?,¿Tienes una toalla para secarme el pelo?,VERB PRON VERB DET NOUN PART VERB DET NOUN ADP PUNCT ,VBP PRP VB DT NN TO VB PRP$ NN IN . ,PUNCT VERB DET NOUN ADP VERB DET NOUN PUNCT ,. VBP DT NN IN TO VB DT NN . 
521,"In the summer, eating watermelon is very refreshing.",Es bueno comer una fría sandía en verano.,ADP DET NOUN PUNCT VERB NOUN VERB ADV ADJ PUNCT ,"IN DT NN , VBG NN VBZ RB JJ . ",AUX ADJ VERB DET ADJ NOUN ADP NOUN PUNCT ,VBZ JJ TO VB DT JJ NN IN NN . 
522,I have class in an hour.,Tengo clase en una hora.,PRON VERB NOUN ADP DET NOUN PUNCT ,PRP VBP NN IN DT NN . ,VERB NOUN ADP DET NOUN PUNCT ,VBP NN IN DT NN . 
523,Let's go swimming somewhere else. ,Vayamos a nadar a otro lugar.,VERB PRON VERB VERB ADV ADV PUNCT ,VB PRP VB VBG RB RB . ,AUX ADP VERB ADP DET NOUN PUNCT ,VBP IN TO VB IN DT NN . 
524,Wow! I heard you have a swimming pool at your house.,¡Wow! Te oí tener una piscina en tu casa.,INTJ PUNCT PRON VERB PRON VERB DET NOUN NOUN ADP DET NOUN PUNCT ,UH . PRP VBD PRP VB DT NN NN IN PRP$ NN . ,PUNCT INTJ PUNCT INTJ VERB VERB DET NOUN ADP DET NOUN PUNCT ,. UH . UH VBD TO VB DT NN IN PRP$ NN . 
525,Did you do your homework?,¿Hiciste tu preparación?,VERB PRON VERB DET NOUN PUNCT ,VBD PRP VB PRP$ NN . ,PUNCT INTJ DET NOUN PUNCT ,. UH PRP$ NN . 
526,Are you sure? Don't change your mind at the last moment.,¿Estás seguro? No cambies tu parecer a último momento.,VERB PRON ADJ PUNCT VERB ADV VERB DET NOUN ADP DET ADJ NOUN PUNCT ,VBP PRP JJ . VB RB VB PRP$ NN IN DT JJ NN . ,PUNCT VERB ADV PUNCT ADV VERB DET AUX ADP ADJ NOUN PUNCT ,. VBP RB . RB VBP PRP$ TO VB IN JJ NN . 
527,Usually Koreans use spoons for rice and chopsticks for side dishes.,Los coreanos utilizan generalmente las cucharas para el arroz y los palillos para los platos laterales.,ADV PROPN VERB NOUN ADP NOUN CCONJ NOUN ADP NOUN NOUN PUNCT ,RB NNPS VBP NNS IN NN CC NNS IN NN NNS . ,DET NOUN VERB ADV DET NOUN ADP DET NOUN CCONJ DET NOUN ADP DET NOUN ADJ PUNCT ,DT NNS VBP RB DT NNS IN DT NN CC DT NNS IN DT NNS JJ . 
528,I think you have had enough alcohol.,Pienso que has tenido bastante alcohol.,PRON VERB PRON VERB VERB ADJ NOUN PUNCT ,PRP VBP PRP VBP VBN JJ NN . ,VERB SCONJ AUX VERB ADV NOUN PUNCT ,VBP IN VBP VBN RB NN . 
529,I got lost in the forest.,Me perdí en el bosque.,PRON VERB VERB ADP DET NOUN PUNCT ,PRP VBD VBN IN DT NN . ,PRON VERB ADP DET NOUN PUNCT ,PRP VBD IN DT NN . 
530,You look tired. Why don't you rest for a while?,Pareces cansado. ¿Por qué no descansas por algún tiempo?,PRON VERB ADJ PUNCT ADV VERB ADV PRON VERB ADP DET NOUN PUNCT ,PRP VBP JJ . WRB VBP RB PRP VB IN DT NN . ,VERB ADJ PUNCT PUNCT ADP PRON ADV VERB ADP DET NOUN PUNCT ,VBP JJ . . IN WP RB VBP IN DT NN . 
531,It's easy for you to say. Do it yourself.,"Es fácil decirlo, por qué no lo haces tú mismo.",PRON VERB ADJ ADP PRON PART VERB PUNCT VERB PRON PRON PUNCT ,PRP VBZ JJ IN PRP TO VB . VB PRP PRP . ,AUX ADJ NOUN PUNCT ADP PRON ADV PRON VERB VERB PRON PUNCT ,"VBZ JJ NN , IN WP RB PRP VBP VBP DT . "
532,I'm going to the supermarket. Do you want anything?,Voy al supermercado. ¿Deseas algo?,PRON VERB VERB ADP DET NOUN PUNCT VERB PRON VERB NOUN PUNCT ,PRP VBP VBG IN DT NN . VBP PRP VB NN . ,AUX ADP NOUN PUNCT PUNCT VERB PRON PUNCT ,VBP IN NN . . VBP NN . 
533,Figure out the solution by yourself.,Busca tú mismo la solución.,VERB PART DET NOUN ADP PRON PUNCT ,VB RP DT NN IN PRP . ,VERB PRON DET DET NOUN PUNCT ,VB PRP DT DT NN . 
534,Our ski trip has been canceled because of the snow.,El viaje de esquí ha sido cancelado debido a la nieve.,DET NOUN NOUN VERB VERB VERB ADP ADP DET NOUN PUNCT ,PRP$ NN NN VBZ VBN VBN IN IN DT NN . ,DET NOUN ADP NOUN AUX AUX VERB ADJ ADP DET NOUN PUNCT ,DT NN IN NN VBZ VBN VBN JJ IN DT NN . 
535,Get a massage to reduce your stress.,Toma cursos de masajes para reducir el estres.,VERB DET NOUN PART VERB DET NOUN PUNCT ,VB DT NN TO VB PRP$ NN . ,VERB NOUN ADP NOUN ADP VERB DET NOUN PUNCT ,VBZ NNS IN NNS IN TO VB DT NN . 
536,I only read the sports section in the newspaper.,Leí solamente la sección de los deportes en el periódico.,PRON ADV VERB DET NOUN NOUN ADP DET NOUN PUNCT ,PRP RB VBD DT NNS NN IN DT NN . ,VERB ADV DET NOUN ADP DET NOUN ADP DET NOUN PUNCT ,VBD RB DT NN IN DT NNS IN DT NN . 
537,"I am crying not because I'm sad, but because I'm happy. ","Estoy llorando no de tristeza, sino de alegría.",PRON VERB VERB ADV ADP PRON VERB ADJ PUNCT CCONJ ADP PRON VERB ADJ PUNCT ,"PRP VBP VBG RB IN PRP VBP JJ , CC IN PRP VBP JJ . ",AUX VERB ADV ADP NOUN PUNCT CCONJ ADP NOUN PUNCT ,"VBP VBG RB IN NN , CC IN NN . "
538,The Han River flows through the city of Seoul.,El río de Han atraviesa la ciudad de Seul.,DET PROPN PROPN VERB ADP DET NOUN ADP PROPN PUNCT ,DT NNP NNP VBZ IN DT NN IN NNP . ,DET NOUN ADP PROPN VERB DET NOUN ADP PROPN PUNCT ,DT NN IN NNP VBZ DT NN IN NNP . 
539,What time is it now? - Half past three.,¿Qué hora es?- Son las tres y media.,DET NOUN VERB PRON ADV PUNCT PUNCT NOUN ADP NUM PUNCT ,WDT NN VBZ PRP RB . : NN IN CD . ,PUNCT DET NOUN PROPN AUX DET NUM CCONJ NUM PUNCT ,. WDT NN NNP VBP DT CD CC PDT . 
540,I work twelve hours a day and do not have time to rest.,Trabajo doce horas por día y no tengo tiempo para descansar.,PRON VERB NUM NOUN DET NOUN CCONJ VERB ADV VERB NOUN PART VERB PUNCT ,PRP VBP CD NNS DT NN CC VBP RB VB NN TO VB . ,VERB NUM NOUN ADP NOUN CCONJ ADV VERB NOUN ADP VERB PUNCT ,VBP CD NNS IN NN CC RB VBP NN IN TO VB . 
541,My watch is 5 minutes behind.,Mi reloj está 5 minutos atrazado.,DET NOUN VERB NUM NOUN ADV PUNCT ,PRP$ NN VBZ CD NNS RB . ,DET NOUN AUX NUM NOUN ADJ PUNCT ,PRP$ NN VBZ CD NNS JJ . 
542,"With the air conditioner on, it is going to be cool.","Con el acondicionador de aire encendido, va a estar fresco.",ADP DET NOUN NOUN ADP PUNCT PRON VERB VERB PART VERB ADJ PUNCT ,"IN DT NN NN IN , PRP VBZ VBG TO VB JJ . ",ADP DET NOUN ADP NOUN ADJ PUNCT AUX ADP VERB ADJ PUNCT ,"IN DT NN IN NN JJ , VBZ IN TO VB JJ . "
543,The class begins at 8 a.m.,La clase comienza a las ocho horas de la mañana.,DET NOUN VERB ADP NUM NOUN ,DT NN VBZ IN CD NN ,DET NOUN VERB ADP DET NUM NOUN ADP DET NOUN PUNCT ,DT NN VBZ IN DT CD NNS IN DT NN . 
544,The concert started and the musician began to play.,El concierto comenzó y el músico empezor a tocar. ,DET NOUN VERB CCONJ DET NOUN VERB PART VERB PUNCT ,DT NN VBD CC DT NN VBD TO VB . ,DET NOUN VERB CCONJ DET NOUN ADJ ADP VERB PUNCT ,DT NN VBD CC DT NN JJ IN TO VB . 
545,I want to go to Dongdaemun Market.,Deseo ir al mercado de Dongdaemun.,PRON VERB PART VERB ADP PROPN PROPN PUNCT ,PRP VBP TO VB IN NNP NNP . ,VERB VERB ADP NOUN ADP PROPN PUNCT ,VBP TO VB IN NN IN NNP . 
546,The CEO makes me work on holidays.,El CEO me hace el trabajo el días de fiesta.,DET NOUN VERB PRON VERB ADP NOUN PUNCT ,DT NN VBZ PRP VB IN NNS . ,DET PROPN PRON VERB DET NOUN DET NOUN ADP NOUN PUNCT ,DT NNP PRP VBZ DT NN DT NNS IN NN . 
547,I took a vocabulary test yesterday. It was easier than I thought it would be.,Ayer tuve la prueba de vocabularios. Fue más fácil de lo que me imaginé,PRON VERB DET NOUN NOUN NOUN PUNCT PRON VERB ADJ ADP PRON VERB PRON VERB VERB PUNCT ,PRP VBD DT NN NN NN . PRP VBD JJR IN PRP VBD PRP MD VB . ,ADV VERB DET NOUN ADP NOUN PUNCT AUX ADV ADJ ADP DET PRON PRON VERB ,RB VBD DT NN IN NNS . VBD RB JJ IN DT DT PRP VBD 
548,They serve really nice food in that restaurant.,En este restaurante sirven buena comida.,PRON VERB ADV ADJ NOUN ADP DET NOUN PUNCT ,PRP VBP RB JJ NN IN DT NN . ,ADP DET NOUN VERB ADJ NOUN PUNCT ,IN DT NN VBP JJ NN . 
549,Take this pill 30 minutes after meals.,Tomar a esta píldora 30 minutos después de las comidas.,VERB DET NOUN NUM NOUN ADP NOUN PUNCT ,VB DT NN CD NNS IN NNS . ,VERB ADP DET NOUN NUM NOUN ADV ADP DET NOUN PUNCT ,TO VB IN DT NN CD NNS RB IN DT NNS . 
550,"After meals, please clear the dining table.","Luego de las comidas, limpie la mesa.",ADP NOUN PUNCT INTJ VERB DET NOUN NOUN PUNCT ,"IN NNS , UH VB DT NN NN . ",ADV ADP DET NOUN PUNCT VERB DET NOUN PUNCT ,"RB IN DT NNS , VB DT NN . "
551,Put on slippers when you come into this room.,"Cuando entre a esta habitación, póngase las apargatas.",VERB PART NOUN ADV PRON VERB ADP DET NOUN PUNCT ,VB RP NNS WRB PRP VBP IN DT NN . ,SCONJ VERB ADP DET NOUN PUNCT ADP DET NOUN PUNCT ,"IN VBZ IN DT NN , IN DT NNS . "
552,Which newspaper do you read?,¿Qué periódico lees?,DET NOUN VERB PRON VERB PUNCT ,WDT NN VBP PRP VB . ,PUNCT DET NOUN VERB PUNCT ,. WDT NN VBZ . 
553,"Your shoes are wet, put on my shoes.","Tus zapatos están mojados, pónte los mios.",DET NOUN VERB ADJ PUNCT VERB ADP DET NOUN PUNCT ,"PRP$ NNS VBP JJ , VBN IN PRP$ NNS . ",DET NOUN AUX ADJ PUNCT ADV DET NOUN PUNCT ,"DT NNS VBP VBN , RB DT NNS . "
554,"Excuse me, but do you have the time?","¿Perdóneme, sabe qué hora es?",VERB PRON PUNCT CCONJ VERB PRON VERB DET NOUN PUNCT ,"VB PRP , CC VBP PRP VB DT NN . ",PUNCT INTJ PUNCT VERB DET NOUN AUX PUNCT ,". UH , VBZ WDT NN VBZ . "
555,I really hate getting up early in the morning.,Realmente odio levantarme temprano por la mañana.,PRON ADV VERB VERB PART ADV ADP DET NOUN PUNCT ,PRP RB VBP VBG RP RB IN DT NN . ,ADV NOUN ADJ ADV ADP DET NOUN PUNCT ,RB NN JJ RB IN DT NN . 
556,Why do you hate jazz?,¿Por qué odias el jazz?,ADV VERB PRON VERB NOUN PUNCT ,WRB VBP PRP VB NN . ,PUNCT ADP PRON NOUN DET NOUN PUNCT ,. IN WP NNS DT NN . 
557,"When the car hit me, I went into severe shock.","Cuando el coche me golpeó, tuve una herida severa.",ADV DET NOUN VERB PRON PUNCT PRON VERB ADP ADJ NOUN PUNCT ,"WRB DT NN VBD PRP , PRP VBD IN JJ NN . ",SCONJ DET NOUN PRON VERB PUNCT VERB DET NOUN ADJ PUNCT ,"IN DT NN PRP VBD , VBD DT NN JJ . "
558,Buying online is cheaper than buying from shops.,Comprar via Internet es mas barato que comprarlo en las tiendas.,VERB ADV VERB ADJ ADP VERB ADP NOUN PUNCT ,VBG RB VBZ JJR IN VBG IN NNS . ,VERB ADJ PROPN AUX ADV ADJ SCONJ VERB ADP DET NOUN PUNCT ,TO VB JJ NNP VBZ RB JJ IN VBP IN DT NNS . 
559,Why are you quarreling?,¿Por qué estás peleando?,ADV VERB PRON VERB PUNCT ,WRB VBP PRP VBG . ,PUNCT ADP PRON AUX VERB PUNCT ,. IN WP VBP VBG . 
560,He can't tell rice from barley.,Él no puede distinguir entre el arroz de la cebada.,PRON AUX ADV VERB NOUN ADP NOUN PUNCT ,PRP MD RB VB NN IN NN . ,PRON ADV AUX VERB ADP DET NOUN ADP DET NOUN PUNCT ,PRP RB VBZ TO VB IN DT NN IN DT NN . 
561,"Although he can't read or write, he is the president of a big company.","Aunque no pueda leer o escribir, él es el presidente de una compañía grande.",ADP PRON AUX ADV VERB CCONJ VERB PUNCT PRON VERB DET NOUN ADP DET ADJ NOUN PUNCT ,"IN PRP MD RB VB CC VB , PRP VBZ DT NN IN DT JJ NN . ",SCONJ ADV AUX VERB CCONJ VERB PUNCT PRON AUX DET NOUN ADP DET NOUN ADJ PUNCT ,"IN RB VBZ TO VB CC TO VB , PRP VBZ DT NN IN DT NN JJ . "
562,Isn't it funny that the dog is wearing a hat?,¿No es divertido que el perro esté usando un sombrero?,VERB ADV PRON ADJ ADP DET NOUN VERB VERB DET NOUN PUNCT ,VBZ RB PRP JJ IN DT NN VBZ VBG DT NN . ,PUNCT ADV AUX ADJ SCONJ DET NOUN AUX VERB DET NOUN PUNCT ,. RB VBZ JJ IN DT NN VBZ VBG DT NN . 
563,What brand of shampoo do you use?,¿Qué marca de champú utilizas?,DET NOUN ADP NOUN VERB PRON VERB PUNCT ,WDT NN IN NN VBP PRP VB . ,PUNCT PRON NOUN ADP NOUN NOUN PUNCT ,. WP NN IN NN NNS . 
564,Could you throw out the garbage?,¿Podrías sacar la basura?,VERB PRON VERB PART DET NOUN PUNCT ,MD PRP VB RP DT NN . ,PUNCT VERB VERB DET NOUN PUNCT ,. VBP TO VB DT NN . 
565,Can I speak to Ms. Hyean?,¿Puedo hablar con el señor Hyean?,VERB PRON VERB ADP PROPN PROPN PUNCT ,MD PRP VB IN NNP NNP . ,PUNCT AUX VERB ADP DET NOUN PROPN PUNCT ,. VBP TO VB IN DT NN NNP . 
566,"As soon as I came home, I washed my hands.","Tan pronto como viniera a casa, me lavé las manos.",ADV ADV ADP PRON VERB ADV PUNCT PRON VERB DET NOUN PUNCT ,"RB RB IN PRP VBD RB , PRP VBD PRP$ NNS . ",NOUN NOUN SCONJ VERB ADP NOUN PUNCT PRON VERB DET NOUN PUNCT ,"NNP NNP IN VBD IN NN , PRP VBD DT NNS . "
567,"Ah, no!","¡Ah, no!",INTJ PUNCT INTJ PUNCT ,"UH , UH . ",PUNCT INTJ PUNCT ADV PUNCT ,". UH , RB . "
568,I'm expecting a baby this month.,Estoy contando con un bebé para este mes.,PRON VERB VERB DET NOUN DET NOUN PUNCT ,PRP VBP VBG DT NN DT NN . ,AUX VERB ADP DET NOUN ADP DET NOUN PUNCT ,VBP VBG IN DT NN IN DT NN . 
569,My wife is the one I've dreamed of all my life.,Mi esposa es la que he soñado toda mi vida.,DET NOUN VERB DET NOUN PRON VERB VERB ADP DET DET NOUN PUNCT ,PRP$ NN VBZ DT NN PRP VB VBN IN DT PRP$ NN . ,DET NOUN AUX DET PRON AUX VERB DET DET NOUN PUNCT ,PRP$ NN VBZ DT DT VBP VBN DT PRP$ NN . 
570,"Do you want some more? - No, I'm full.","¿Deseas más? - No, gracias. Estoy lleno.",VERB PRON VERB DET ADJ PUNCT PUNCT INTJ PUNCT PRON VERB ADJ PUNCT ,"VBP PRP VB DT JJR . : UH , PRP VBP JJ . ",PUNCT VERB ADV PUNCT PUNCT ADV PUNCT NOUN PUNCT AUX ADJ PUNCT ,". VBP RB . SYM RB , NNS . VBP JJ . "
571,Billie Jean is not my lover.,Billie Jean no es mi amante.,PROPN PROPN VERB ADV DET NOUN PUNCT ,NNP NNP VBZ RB PRP$ NN . ,PROPN PROPN ADV AUX DET NOUN PUNCT ,NNP NNP RB VBZ PRP$ NN . 
572,"No, the kid is not my son.","No, el niño no es mi hijo.",INTJ PUNCT DET NOUN VERB ADV DET NOUN PUNCT ,"UH , DT NN VBZ RB PRP$ NN . ",ADV PUNCT DET NOUN ADV AUX DET NOUN PUNCT ,"RB , DT NN RB VBZ PRP$ NN . "
573,I have to go now. My son is home alone.,Me tengo que ir ahora. Mi hijo está en casa solo.,PRON VERB PART VERB ADV PUNCT DET NOUN VERB ADV ADV PUNCT ,PRP VBP TO VB RB . PRP$ NN VBZ RB RB . ,PRON VERB SCONJ VERB ADV PUNCT DET NOUN AUX ADP NOUN ADJ PUNCT ,PRP VBP IN TO VB RB . PRP$ NN VBZ IN NN JJ . 
574,Please sign your name below.,"Por favor, firme abajo.",INTJ VERB DET NOUN ADV PUNCT ,UH VB PRP$ NN RB . ,ADP NOUN PUNCT ADJ ADV PUNCT ,"IN NNP , JJ RB . "
575,You are so beautiful. ,Eres tan hermoso.,PRON VERB ADV ADJ PUNCT ,PRP VBP RB JJ . ,AUX ADV ADJ PUNCT ,VBP RB JJ . 
576,He is probably late. He was up until 4 a.m.,"Probablemente llegará tarde, estuvo madrugando hasta las cuatro.",PRON VERB ADV ADJ PUNCT PRON VERB ADV ADP NUM ADV ,PRP VBZ RB JJ . PRP VBD RB IN CD RB ,ADV VERB ADV PUNCT AUX VERB ADP DET NUM PUNCT ,"RB MD VB RB , VBD VBG IN DT CD . "
577,The president didn’t say anything about the issue.,El presidente no mencionó nada sobre ese tema. ,DET NOUN VERB ADV VERB NOUN ADP DET NOUN PUNCT ,DT NN VBD RB VB NN IN DT NN . ,DET NOUN ADV VERB PRON ADP DET NOUN PUNCT ,DT NN RB VBD NN IN DT NN . 
578,"No matter how much you eat, you never gain a pound.","Por más que tú comas, no engordas.",ADV ADV ADV ADJ PRON VERB PUNCT PRON ADV VERB DET NOUN PUNCT ,"RB RB WRB JJ PRP VBP , PRP RB VBP DT NN . ",ADP ADV SCONJ PRON NOUN PUNCT ADV ADJ PUNCT ,"IN RB IN PRP NNS , RB JJ . "
579,What does your father do for a living?,¿Qué profesión tiene tu padre?,PRON VERB DET NOUN VERB ADP DET NOUN PUNCT ,WP VBZ PRP$ NN VB IN DT NN . ,PUNCT DET NOUN VERB DET NOUN PUNCT ,. WDT NN VBZ PRP$ NN . 
580,"Dad, please buy me this camera.","Papá, por favor, cómprame  esta cámara fotográfica.",PROPN PUNCT INTJ VERB PRON DET NOUN PUNCT ,"NNP , UH VB PRP DT NN . ",INTJ PUNCT ADP NOUN PUNCT NOUN SPACE DET NOUN ADJ PUNCT ,"UH , IN NNP , NN _SP DT NN JJ . "
581,We only have one child.,Tenemos solamente un hijo.,PRON ADV VERB NUM NOUN PUNCT ,PRP RB VBP CD NN . ,VERB ADV DET NOUN PUNCT ,VBP RB DT NN . 
582,Vanilla is my favorite ice cream flavor.,Mi sabor preferido de helado es el vainilla.,NOUN VERB DET ADJ NOUN NOUN NOUN PUNCT ,NN VBZ PRP$ JJ NN NN NN . ,DET NOUN ADJ ADP ADJ AUX DET NOUN PUNCT ,PRP$ NN JJ IN JJ VBZ DT NN . 
583,"Even though he is seventeen, he looks like a middle-aged man. ",Tiene sólo diecisiete pero parece un caballero.,ADV ADP PRON VERB NUM PUNCT PRON VERB ADP DET NOUN PUNCT ADJ NOUN PUNCT ,"RB IN PRP VBZ CD , PRP VBZ IN DT NN HYPH JJ NN . ",VERB ADV NUM CCONJ AUX DET NOUN PUNCT ,VBZ RB CD CC VBZ DT NN . 
584,It's very easy.,Es muy fácil.,PRON VERB ADV ADJ PUNCT ,PRP VBZ RB JJ . ,AUX ADV ADJ PUNCT ,VBZ RB JJ . 
585,"Madam, where am I?","Señora, ¿En dónde estoy yo?",INTJ PUNCT ADV VERB PRON PUNCT ,"UH , WRB VBP PRP . ",NOUN PUNCT PUNCT ADP PRON AUX PRON PUNCT ,"NN , . IN WDT VBP PRP . "
586,These still seem to be okay.,Éstos todavía parecen ser aceptables.,DET ADV VERB PART VERB ADJ PUNCT ,DT RB VBP TO VB JJ . ,PRON ADV AUX AUX ADJ PUNCT ,DT RB VBP TO VB JJ . 
587,I usually sleep in without having breakfast on Sunday mornings.,Generalmente los domingos no desayuno.,PRON ADV VERB PART ADP VERB NOUN ADP PROPN NOUN PUNCT ,PRP RB VBP RP IN VBG NN IN NNP NNS . ,ADV DET NOUN ADV ADJ PUNCT ,RB DT NNS RB JJ . 
