,Unnamed: 0,error_type,Negative transfer?,Likely reason for mistake,correct_sentence,correct_trigram_ud,incorrect_sentence,incorrect_trigram_ud,incorrect_error_index,type_and_trigram_ud,ud_quadgram,penn_quadgram,nlt,result
2718,63,FV,False,Incorrectly using past tense,"I'm happy to | hear that I have won the first prize. Here is the information you want from me. Firstly, I can only go in July . Because , because I'm on holiday at that time. I think I would prefer the accommodation at Camp California is in tents . Because , because it is more safe, and I wouldn't like to be in the log cabins. ",VERB ADP PRON,"I'm happy to | heard that I have won the first prize. Here is the information you want from me. Firstly, I can only go in July . Because , because I'm on holiday at that time. I think I would prefer the accommodation at Camp California is in tents . Because , because it is more safe, and I wouldn't like to be in the log cabins. ",VERB ADP PRON,4,FV VERB ADP PRON,PART VERB SCONJ PRON,FV TO VBN IN PRP,True,False
31,31,DJ,True,"Chinese verbs, adjectives, and nouns sometimes are the same","Shopping is enjoyable, if you are | lucky. Even though I think most of the time it is very interesting, sometimes it gets people upset. ",ADJ PUNCT ADV,"Shopping is enjoyable, if you are | luck. Even though I think most of the time it is very interesting, sometimes it gets people upset. ",NOUN PUNCT ADV,7,DJ NOUN PUNCT ADV,AUX NOUN PUNCT ADV,DJ VBP NN . RB,True,True
891,8,W,True,Adjective/modifier precedes described object,"What made things even worse was that the leading actor Danny Brook did not appear on the stage at all. A second-class actor An understudy took | his place. We felt totally disappointed and cheated. After the show, I was hungry and tired. As your poster suggested, I intended to rest for a while at your restaurant. But when I got there, it had closed. In addition, the ticket office didn't offer me any discounts, as you had advertised on the poster, when I bought the ticket. ",DET NOUN PUNCT,"What made things even worse was that the leading actor Danny Brook did not appear on the stage at all. A second-class actor An understudy took | the place of him. We felt totally disappointed and cheated. After the show, I was hungry and tired. As your poster suggested, I intended to rest for a while at your restaurant. But when I got there, it had closed. In addition, the ticket office didn't offer me any discounts, as you had advertised on the poster, when I bought the ticket. ",DET NOUN ADP,29,W DET NOUN ADP,VERB DET NOUN ADP,W VBD DT NN IN,True,True
1094,4,AGQ,True,Phrases map to the same Chinese phrase,"The world is changing every day. So, modern technology is needed to meet the requirement . Every single day, | a lot of modern technology is produced and it really affects our daily life. ",DET NOUN ADP,"The world is changing every day. So, modern technology is needed to meet the requirement . Every single day, | many modern technology is produced and it really affects our daily life. ",ADJ ADJ NOUN,22,AGQ ADJ ADJ NOUN,PUNCT ADJ ADJ NOUN,"AGQ , JJ JJ NN",True,True
2786,133,FV,False,"Using the infinitive form of the verb with ""to"" instead of using present tense or present progressive","Finally, if you want to visit this building I would recommend you | stay at a hotel not far from the memorial Hall called the Hyatt Hotel. It only takes about five minutes if you walk. I hope you will all have a great time in Taiwan and I hope you will enjoy the building. ",VERB ADP DET,"Finally, if you want to visit this building I would recommend you | to stay at a hotel not far from the memorial Hall called the Hyatt Hotel. It only takes about five minutes if you walk. I hope you will all have a great time in Taiwan and I hope you will enjoy the building. ",PART VERB ADP,13,FV PART VERB ADP,PRON PART VERB ADP,FV PRP TO VB IN,True,False
990,16,MA,False,Pronoun can also be used here in Chinese,I would be grateful if you could give | us our money back. If I cannot get a satisfactory reply within a month I shall go to the consumer protection organisation to sue you.,PRON DET NOUN,I would be grateful if you could give | our money back. If I cannot get a satisfactory reply within a month I shall go to the consumer protection organisation to sue you.,DET NOUN ADV,8,MA DET NOUN ADV,VERB DET NOUN ADV,MA VB PRP$ NN RB,True,False
1662,125,MP,True,Chinese doesn't use hypens in words,"Concerning your advertisement, we were pleased to learn that we can do some different activities in London, which include sightseeing by bus, a River trip to Greenwich, visiting the Science Museum and National Art Gallery and so on. The point is, The London Fashion and Leisure show will be fantastic. At this we can see the latest fashions, imaginative | make-up and hairstyles. What is more they are the Leisure and sports wear , which we are keen on seeing . In your advertisement, you have written ""The show will be held in the Central Exhibition hall in London , it . It runs from 10 am to 7 pm on 14th March."" ",NOUN PUNCT NOUN,"Concerning your advertisement, we were pleased to learn that we can do some different activities in London, which include sightseeing by bus, a River trip to Greenwich, visiting the Science Museum and National Art Gallery and so on. The point is, The London Fashion and Leisure show will be fantastic. At this we can see the latest fashions, imaginative | make up and hairstyles. What is more they are the Leisure and sports wear , which we are keen on seeing . In your advertisement, you have written ""The show will be held in the Central Exhibition hall in London , it . It runs from 10 am to 7 pm on 14th March."" ",VERB PART CCONJ,67,MP VERB PART CCONJ,ADJ VERB ADP CCONJ,MP JJ VBP RP CC,True,True
1135,13,UD,False,Overcorrection,"Modern technology has changed my daily life in two ways. First with a lot of advanced techniques being put to practical use, our living conditions are becoming more and more convenient and comfortable. When we look around the house, it is easy to find things like : a microwave oven, TV set, computer , etc. All these items of equipment are | applications of modern science. When you are planning to travel, you can choose a train, car or even a plane as your means of transportation. Without the development of modern technology, it may take you several years to reach your destination. ",NOUN ADP ADJ,"Modern technology has changed my daily life in two ways. First with a lot of advanced techniques being put to practical use, our living conditions are becoming more and more convenient and comfortable. When we look around the house, it is easy to find things like : a microwave oven, TV set, computer , etc. All these items of equipment are | the applications of modern science. When you are planning to travel, you can choose a train, car or even a plane as your means of transportation. Without the development of modern technology, it may take you several years to reach your destination. ",DET NOUN ADP,68,UD DET NOUN ADP,AUX DET NOUN ADP,UD VBP DT NNS IN,True,False
1345,73,TV,True,Context carries tense rather than verb; Chinese generally expresses actions in present tense,"It said in the advertisement that the singers are Danny Brook and Tina Truelove. However, there was a different, unknown actor in that. The show started late, at 20:15, which was very different from '19.30' as shown . There was no discount at all, which | was in contrast with 'Discounts Available'. After the show, I wanted to have something in the theatre restaurant and found it was closed for no reason. ",VERB ADP NOUN,"It said in the advertisement that the singers are Danny Brook and Tina Truelove. However, there was a different, unknown actor in that. The show started late, at 20:15, which was very different from '19.30' as shown . There was no discount at all, which | is in contrast with 'Discounts Available'. After the show, I wanted to have something in the theatre restaurant and found it was closed for no reason. ",VERB ADP NOUN,54,TV VERB ADP NOUN,DET AUX ADP NOUN,TV WDT VBZ IN NN,True,True
478,36,RP,True,Chinese uses commas to mark the end of a complete thought,"I thought that I would have a great time there, but I was really disappointed with that evening. You said there would be stars such as Danny Brook and Tina Truelove, whose music is my favourite, but the musicians were actually some other people whose names I had never heard of. In the advertisement for the show, you said it would begin at 19.30 | . Actually it was delayed 45 minutes. The discounts on tickets that you mentioned did not exist. It made things worse that our visit to your theatre restaurant, which had already been closed because of a lack of customers, was cancelled. Really, what a | letdown! ",NOUN PUNCT _,"I thought that I would have a great time there, but I was really disappointed with that evening. You said there would be stars such as Danny Brook and Tina Truelove, whose music is my favourite, but the musicians were actually some other people whose names I had never heard of. In the advertisement for the show, you said it would begin at 19.30, actually it was delayed 45 minutes. The discounts on tickets that you mentioned did not exist. It made things worse that our visit to your theatre restaurant, which had already been closed because of a lack of customers, was cancelled. Really, what a | let down! ",NOUN PART PUNCT,122,RP NOUN PART PUNCT,ADP PUNCT,RP RP .,True,True
1103,14,CQ,True,Phrases map to the same Chinese phrase,"Finally, I would like to know about the weather in California. Do I need to take very | many clothes? Could you tell me the amount of money I should have during the holiday? ",ADJ NOUN PUNCT,"Finally, I would like to know about the weather in California. Do I need to take very | much clothes? Could you tell me the amount of money I should have during the holiday? ",ADJ NOUN PUNCT,19,CQ ADJ NOUN PUNCT,ADV ADJ NOUN PUNCT,CQ RB JJ NNS .,True,True
1859,171,MD,True,Chinese uses classifiers instead of articles in this case,"First of all, the efficiency of society has been improved. When shopping, we don't need to wait for the cashier to take every article's note by hand. When booking a flight, we can just make a phone call to any agency, and get it done in one minute. Secondly, instead of looking up tons of books to get the information that we need, we can very easily search for it on the Internet or on the local network. It's very often heard , that someone , who has a rare illness , has had | an operation at a foreign institute , which he found via the Internet. Moreover, with computer networks, it is possible for people to work from home, making projects, controlling operations or having conferences. Lastly the way of communications has also changed. Instead of traditional telecommunications, we can talk by, e-mail or even see each other with the help of a computer network. ",DET NOUN ADP,"First of all, the efficiency of society has been improved. When shopping, we don't need to wait for the cashier to take every article's note by hand. When booking a flight, we can just make a phone call to any agency, and get it done in one minute. Secondly, instead of looking up tons of books to get the information that we need, we can very easily search for it on the Internet or on the local network. It's very often heard , that someone , who has a rare illness , has had | operation at a foreign institute , which he found via the Internet. Moreover, with computer networks, it is possible for people to work from home, making projects, controlling operations or having conferences. Lastly the way of communications has also changed. Instead of traditional telecommunications, we can talk by, e-mail or even see each other with the help of a computer network. ",NOUN ADP DET,107,MD NOUN ADP DET,VERB NOUN ADP DET,MD VBN NN IN DT,True,True
289,52,RN,True,Both the incorrect and corrected terms could be used,"Frankly, I like to shop. Of course not because of buying things . I like to go window shopping that is good to go around the shopping | centre. It helps you keep up to date . With what with what fashion is in now. ",NOUN PUNCT PRON,"Frankly, I like to shop. Of course not because of buying things . I like to go window shopping that is good to go around the shopping | area. It helps you keep up to date . With what with what fashion is in now. ",NOUN PUNCT PRON,29,RN NOUN PUNCT PRON,NOUN NOUN PUNCT PRON,RN NN NN . PRP,True,True
2693,38,FV,True,Progressive aspect not applied,"Science and technology can give us a better lifestyle or better food. For example, once people had to walk from one place to another, but now we can use science and technology to produce a lot of petrol-powered vehicles and we can travel faster with them. We can also produce more and better food by using science and technology . , e.g. by | using science to put all the good parts of two plants into one plant. We can also use technology to produce more food and help them grow faster. ",VERB NOUN PART,"Science and technology can give us a better lifestyle or better food. For example, once people had to walk from one place to another, but now we can use science and technology to produce a lot of petrol-powered vehicles and we can travel faster with them. We can also produce more and better food by using science and technology . , e.g. by | use science to put all the good parts of two plants into one plant. We can also use technology to produce more food and help them grow faster. ",NOUN NOUN PART,69,FV NOUN NOUN PART,ADP NOUN NOUN PART,FV IN NN NN TO,True,True
1943,50,UT,True,Chinese would use word in the given context,"All of us want to go on this trip, but some of my classmates saw an advertisement for the London Fashion and Leisure Show, and we would all like to go there. It is from 10 am to 7 p.m. , it It is about the latest fashion, leisure and sports wear, make-up and hairstyles , all . All of us are really interested, and it is free for students to get in as well. It is a really good opportunity to go because most of us are studying fashion design, and we can learn loads of things | there. So would you please reschedule the visit to the Science Museum for Wednesday afternoon, and we can cancel our shopping and free time, so we can go to the fashion show on Tuesday. ",ADV PUNCT ADV,"All of us want to go on this trip, but some of my classmates saw an advertisement for the London Fashion and Leisure Show, and we would all like to go there. It is from 10 am to 7 p.m. , it It is about the latest fashion, leisure and sports wear, make-up and hairstyles , all . All of us are really interested, and it is free for students to get in as well. It is a really good opportunity to go because most of us are studying fashion design, and we can learn loads of things | in there. So would you please reschedule the visit to the Science Museum for Wednesday afternoon, and we can cancel our shopping and free time, so we can go to the fashion show on Tuesday. ",ADV ADV PUNCT,108,UT ADV ADV PUNCT,NOUN ADV ADV PUNCT,UT NNS RB RB .,True,True
1488,224,TV,True,Will and would map to the same word in Chinese,"I think it is a great opportunity because I am sure we will enjoy ourselves. But I wonder if the timetable could be changed, which | would be perfect. As you know, all of us want to join the programme, so if some students go to the Science Museum, they will miss the wonderful show. For that reason, I suggest that you could change the activities. In my opinion, we would be better going to the show instead of the science museum and shopping , also . Also we can go to the Science Museum on 15th March, instead of having some free time in the afternoon. ",VERB VERB ADJ,"I think it is a great opportunity because I am sure we will enjoy ourselves. But I wonder if the timetable could be changed, which | will be perfect. As you know, all of us want to join the programme, so if some students go to the Science Museum, they will miss the wonderful show. For that reason, I suggest that you could change the activities. In my opinion, we would be better going to the show instead of the science museum and shopping , also . Also we can go to the Science Museum on 15th March, instead of having some free time in the afternoon. ",VERB VERB ADJ,27,TV VERB VERB ADJ,DET VERB AUX ADJ,TV WDT MD VB JJ,True,True
1466,199,TV,False,Incorrectly using progressive aspect,"First of all, we want to say thanks to you because we know the effort you have made organising this excellent programme, but we would really like to go to the London fashion and leisure show we saw in the advertisement. We think that perhaps on Tuesday March 14 , we could change the time when we | go to the Science Museum, and (we) go to the Museum earlier, perhaps at half past eight in the morning, so we could go later, at ten o'clock, to the show, and we could also delay going shopping on that afternoon, because the show lasts till seven o'clock in the evening. And we thought that we could go shopping the next day, because we do not have anything to do on that afternoon. ",VERB ADP DET,"First of all, we want to say thanks to you because we know the effort you have made organising this excellent programme, but we would really like to go to the London fashion and leisure show we saw in the advertisement. We think that perhaps on Tuesday March 14 , we could change the time when we | going to the Science Museum, and (we) go to the Museum earlier, perhaps at half past eight in the morning, so we could go later, at ten o'clock, to the show, and we could also delay going shopping on that afternoon, because the show lasts till seven o'clock in the evening. And we thought that we could go shopping the next day, because we do not have anything to do on that afternoon. ",VERB ADP DET,60,TV VERB ADP DET,PRON VERB ADP DET,TV PRP VBG IN DT,True,False
2524,5,UY,False,Word pair misunderstanding,"Unfortunately, Pat wasn't very good at keeping secrets. My story had already been spread | the next day. Although failing in the exams wasn't really a big deal, it was awful that people kept mentioning it. I didn't think I was going to survive after failing the exams and my best friend had been untrustworthy. But this idea was soon be put off since I noticed in the newspaper that I had won the writing competition. I couldn't believe my luck , . I was really sure that I won a return ticket to the Mediterranean Sea. During the trip, I made friends with other people who had also won the competition in their towns. They were so kind to me that we soon became good friends. For the last few days, we spent our time sightseeing and shopping. I must admit that it was the greatest time I have ever had in my life. On the last day when I was packing and getting ready to leave, I realised I had lost my passport and tickets. A horrible thought suddenly came into my mind. My bad luck had never left me. It had only hidden away from me and when there was a chance, it was going to give me a 'surprise'. ",DET ADJ NOUN,"Unfortunately, Pat wasn't very good at keeping secrets. My story had already been spread | out the next day. Although failing in the exams wasn't really a big deal, it was awful that people kept mentioning it. I didn't think I was going to survive after failing the exams and my best friend had been untrustworthy. But this idea was soon be put off since I noticed in the newspaper that I had won the writing competition. I couldn't believe my luck , . I was really sure that I won a return ticket to the Mediterranean Sea. During the trip, I made friends with other people who had also won the competition in their towns. They were so kind to me that we soon became good friends. For the last few days, we spent our time sightseeing and shopping. I must admit that it was the greatest time I have ever had in my life. On the last day when I was packing and getting ready to leave, I realised I had lost my passport and tickets. A horrible thought suddenly came into my mind. My bad luck had never left me. It had only hidden away from me and when there was a chance, it was going to give me a 'surprise'. ",PART DET ADJ,17,UY PART DET ADJ,VERB ADP DET ADJ,UY VBN RP DT JJ,True,False
2028,72,RV,False,,"The accommodation I prefer is a tent. I haven't | tried it before. I would like to know how interesting it is to live in tents. If I can only choose two activities while I am at the Camp, I would like climbing and Basketball. I started climbing when I was a child. I love it very much. About Basketball, I have been playing it for seven years. I would like to play basketball with local people at the Camp to see how good they are, if I can. ",VERB PRON ADV,"The accommodation I prefer is a tent. I haven't | tied it before. I would like to know how interesting it is to live in tents. If I can only choose two activities while I am at the Camp, I would like climbing and Basketball. I started climbing when I was a child. I love it very much. About Basketball, I have been playing it for seven years. I would like to play basketball with local people at the Camp to see how good they are, if I can. ",VERB PRON ADV,11,RV VERB PRON ADV,PART VERB PRON ADV,RV RB VBN PRP RB,True,False
2712,57,FV,False,Incorrectly using past tense,"The place where we worked was a football pitch; we spent 3 days setting up the stage, the equipment, and the lights. In fact, there was nothing very important I did, because we were not the right people to do it. I only put the speakers in the right places, or helped the engineers | test the lights. ",VERB DET NOUN,"The place where we worked was a football pitch; we spent 3 days setting up the stage, the equipment, and the lights. In fact, there was nothing very important I did, because we were not the right people to do it. I only put the speakers in the right places, or helped the engineers | tested the lights. ",VERB DET NOUN,62,FV VERB DET NOUN,NOUN VERB DET NOUN,FV NNS VBD DT NNS,True,False
721,69,RY,True,English words map to the same Chinese word,"Of course there're also some aspects in which computer technology needs to be improved. For example, reading on the screen is still not as comfortable as reading on paper. A very important and severe problem is reliability and security. | So far, it is still somehow not safe enough to completely rely on computers. ",ADV ADV PUNCT,"Of course there're also some aspects in which computer technology needs to be improved. For example, reading on the screen is still not as comfortable as reading on paper. A very important and severe problem is reliability and security. | Till now, it is still somehow not safe enough to completely rely on computers. ",ADP ADV PUNCT,44,RY ADP ADV PUNCT,PUNCT ADV ADV PUNCT,"RY . RB RB ,",True,True
762,36,DA,False,Using your instead of yours for sign offs,"| Yours sincerely, ",DET ADV PUNCT,"| Your sincerely, ",DET ADV PUNCT,0,DA DET ADV PUNCT,DET ADV PUNCT,"DA PRP$ RB ,",True,False
2035,79,RV,False,,"Shopping does not just | affect us mentally, but also physically. It's not hard to realise how exhausted we are after a day of shopping. Think of the awful crowds, the busy car parks, polluted air in the city centres and mile-long queues in front of the cash desks. I don't think anyone really likes to face them. But once you get there, they're just inevitable, aren't they? ",VERB PRON ADV,"Shopping does not just | effect us mentally, but also physically. It's not hard to realise how exhausted we are after a day of shopping. Think of the awful crowds, the busy car parks, polluted air in the city centres and mile-long queues in front of the cash desks. I don't think anyone really likes to face them. But once you get there, they're just inevitable, aren't they? ",VERB PRON ADV,4,RV VERB PRON ADV,ADV VERB PRON ADV,RV RB VB PRP RB,True,False
474,32,RP,False,Inappropriate capitalization in the middle of sentence,"From my point of view , I think people will wear more clothes that are see-through in particular. As people are wearing thinner and thinner clothing to show off their figure, | they might as well just wear clothes that are see-through to give it a better effect ! So if you want to know what clothes will be like 100 years from now, the only thing you can do is to WAIT! ",PRON VERB ADV,"From my point of view , I think people will wear more clothes that are see-through in particular. As people are wearing thinner and thinner clothing to show off their figure, | They might as well just wear clothes that are see-through to give it a better effect ! So if you want to know what clothes will be like 100 years from now, the only thing you can do is to WAIT! ",PRON VERB ADV,35,RP PRON VERB ADV,PUNCT PRON VERB ADV,"RP , PRP MD RB",True,False
1649,112,MP,True,Chinese doesn't use hypens in words,"All of us want to go on this trip, but some of my classmates saw an advertisement for the London Fashion and Leisure Show, and we would all like to go there. It is from 10 am to 7 p.m. , it It is about the latest fashion, leisure and sports wear, | make-up and hairstyles , all . All of us are really interested, and it is free for students to get in as well. It is a really good opportunity to go because most of us are studying fashion design, and we can learn loads of things there. So would you please reschedule the visit to the Science Museum for Wednesday afternoon, and we can cancel our shopping and free time, so we can go to the fashion show on Tuesday. ",VERB PUNCT NOUN,"All of us want to go on this trip, but some of my classmates saw an advertisement for the London Fashion and Leisure Show, and we would all like to go there. It is from 10 am to 7 p.m. , it It is about the latest fashion, leisure and sports wear, | make up and hairstyles , all . All of us are really interested, and it is free for students to get in as well. It is a really good opportunity to go because most of us are studying fashion design, and we can learn loads of things there. So would you please reschedule the visit to the Science Museum for Wednesday afternoon, and we can cancel our shopping and free time, so we can go to the fashion show on Tuesday. ",VERB PART CCONJ,57,MP VERB PART CCONJ,PUNCT VERB ADP CCONJ,"MP , VB RP CC",True,True
758,32,DA,False,Using your instead of yours for sign offs,| Yours sincerely,PRON ADV _,| Your sincerely,DET ADV _,0,DA DET ADV _,DET ADV,DA PRP$ RB,True,False
2070,114,RV,False,,"I would prefer a tent rather than a log cabin because I have been told that the Californian summer is hot and dry so, because a tent's wind circulation is better, it would create a comfortable coolness. The two activities I would like to do are basketball and surfing. I have played basketball for 5 years in an amateur team and still play on a playground regularly so my skills are good. On the other hand, I am a complete beginner at surfing. This sport has always attracted me due to its contact with the sea and the great sensations it provides and I believe this is the perfect opportunity to | introduce myself to this exciting sport , . I still have some questions to ask you: ",VERB PRON ADP,"I would prefer a tent rather than a log cabin because I have been told that the Californian summer is hot and dry so, because a tent's wind circulation is better, it would create a comfortable coolness. The two activities I would like to do are basketball and surfing. I have played basketball for 5 years in an amateur team and still play on a playground regularly so my skills are good. On the other hand, I am a complete beginner at surfing. This sport has always attracted me due to its contact with the sea and the great sensations it provides and I believe this is the perfect opportunity to | initiate myself to this exciting sport , . I still have some questions to ask you: ",VERB PRON ADP,119,RV VERB PRON ADP,PART VERB PRON ADP,RV TO VB PRP IN,True,False
1925,29,UT,False,Overgeneralization of word pairs,"As for the accommodation, I would like to stay in a log cabin because I hate sleeping in tents. I stayed in a tent once when I had my Duke of Edinburgh walk. I felt really uncomfortable in the tent. Secondly, I would like to have a chance to do singing and swimming while I am at the Camp. I am keen on singing and I have won several singing competitions at school. I have chosen swimming because it is my favourite sport. I enjoy doing it very much. I note that all accommodation and travel costs are paid | , but does it include my expenses in California? Lastly, I would like to know what the weather in California is like and what type of clothes I have to bring. ",PUNCT CCONJ VERB,"As for the accommodation, I would like to stay in a log cabin because I hate sleeping in tents. I stayed in a tent once when I had my Duke of Edinburgh walk. I felt really uncomfortable in the tent. Secondly, I would like to have a chance to do singing and swimming while I am at the Camp. I am keen on singing and I have won several singing competitions at school. I have chosen swimming because it is my favourite sport. I enjoy doing it very much. I note that all accommodation and travel costs are paid | for, but does it include my expenses in California? Lastly, I would like to know what the weather in California is like and what type of clothes I have to bring. ",ADP PUNCT CCONJ,108,UT ADP PUNCT CCONJ,VERB ADP PUNCT CCONJ,"UT VBN IN , CC",True,False
1179,57,UD,False,Overcorrection,"Also with | weekend shopping . You , you can't find somewhere to sit down comfortably to have a cup of tea. Mc.Donnals, K.F.C, are all full of people. ",NOUN NOUN PUNCT,"Also with | the weekend shopping . You , you can't find somewhere to sit down comfortably to have a cup of tea. Mc.Donnals, K.F.C, are all full of people. ",DET NOUN NOUN,2,UD DET NOUN NOUN,ADP DET NOUN VERB,UD IN DT NN VBG,True,False
2603,10,DV,True,"Chinese verbs, adjectives, and nouns sometimes are the same","To help us to live happily, scientists can easily predict the changes on earth , so that we can have time to prepare or | defend ourselves from natural disasters. ",VERB PRON ADP,"To help us to live happily, scientists can easily predict the changes on earth , so that we can have time to prepare or | defence ourselves from natural disasters. ",VERB PRON ADP,25,DV VERB PRON ADP,CCONJ VERB PRON ADP,DV CC VB PRP IN,True,True
221,48,R,True,Chinese conventions conflict with English,"I think most people will agree | that ""shopping is not always enjoyable"" . Because , because so far as I know nothing is enjoyable all the time. ",ADP PUNCT NOUN,"I think most people will agree | with ""shopping is not always enjoyable"" . Because , because so far as I know nothing is enjoyable all the time. ",ADP PUNCT NOUN,6,R ADP PUNCT NOUN,VERB ADP PUNCT NOUN,R VB IN `` NN,True,True
1308,36,TV,True,Chinese usually express actions in present tense,"That evening we didn't want to have our supper before the show. Anyway I thought it would be too early to eat and also because the timetable or candidates you give me have say : ""visit our theatre restaurant after the show"". So we did, but unfortunately it was closed and I was so disappointed about it, not only because we had expected Danny Brook and Tina Truelove to be the actor of starring . Also I don't really mind that the show started late but the rute of that evening was rucented . And there were no discounts when you | said there would be! Why is it everything that on the canidates was wrong and different from what we experienced. We don't expect much bad to happen on our holiday, but this was a perfect show as well , it was the worst show and theatre I have ever been to in my life. ",VERB ADV VERB,"That evening we didn't want to have our supper before the show. Anyway I thought it would be too early to eat and also because the timetable or candidates you give me have say : ""visit our theatre restaurant after the show"". So we did, but unfortunately it was closed and I was so disappointed about it, not only because we had expected Danny Brook and Tina Truelove to be the actor of starring . Also I don't really mind that the show started late but the rute of that evening was rucented . And there were no discounts when you | say there would be! Why is it everything that on the canidates was wrong and different from what we experienced. We don't expect much bad to happen on our holiday, but this was a perfect show as well , it was the worst show and theatre I have ever been to in my life. ",VERB ADV VERB,109,TV VERB ADV VERB,PRON VERB PRON VERB,TV PRP VBP EX MD,True,True
298,61,RN,False,Spelling error,"I am writing to inform you that I can only go in July, the summer holiday, because I have got a place at university and it will start in August. Is the time I request available? I would also like to ask accommodation you offer is in | tents or log cabins. If I can choose I would prefer | tents. I like to sleep on open land and see the sun come up in the morning. ",NOUN CCONJ NOUN,"I am writing to inform you that I can only go in July, the summer holiday, because I have got a place at university and it will start in August. Is the time I request available? I would also like to ask accommodation you offer is in | tens or log cabins. If I can choose I would prefer | tens. I like to sleep on open land and see the sun come up in the morning. ",NOUN CCONJ NOUN,51,RN NOUN CCONJ NOUN,ADP NOUN CCONJ NOUN,RN IN NNS CC NN,True,False
225,52,R,False,Confusion of phrase meaning and usage,"First of all, we want to say thanks to you because we know the effort you have made organising this excellent programme, but we would really like to go to the London fashion and leisure show we saw in the advertisement. We think that perhaps on Tuesday March 14 , we could change the time when we go to the Science Museum, and (we) go to the Museum earlier, | perhaps at half past eight in the morning, so we could go later, at ten o'clock, to the show, and we could also delay going shopping on that afternoon, because the show lasts till seven o'clock in the evening. And we thought that we could go shopping the next day, because we do not have anything to do on that afternoon. ",ADV ADP NOUN,"First of all, we want to say thanks to you because we know the effort you have made organising this excellent programme, but we would really like to go to the London fashion and leisure show we saw in the advertisement. We think that perhaps on Tuesday March 14 , we could change the time when we go to the Science Museum, and (we) go to the Museum earlier, | such as half past eight in the morning, so we could go later, at ten o'clock, to the show, and we could also delay going shopping on that afternoon, because the show lasts till seven o'clock in the evening. And we thought that we could go shopping the next day, because we do not have anything to do on that afternoon. ",ADJ ADP NOUN,76,R ADJ ADP NOUN,PUNCT ADJ SCONJ ADJ,"R , JJ IN JJ",True,False
1795,107,MD,True,Chinese has no articles and doesn't use classifiers in this situation,"Concerning the date when I would like to travel, it will be nice to go on | the 1st of July . Because , because my summer holidays start at | the end of June. And I need a few days to prepare my stuff. ",DET NOUN ADP,"Concerning the date when I would like to travel, it will be nice to go on | 1st of July . Because , because my summer holidays start at | end of June. And I need a few days to prepare my stuff. ",NOUN ADP PROPN,17,MD NOUN ADP PROPN,ADP NOUN ADP PROPN,MD IN NN IN NNP,True,True
339,102,RN,False,omitted,"Apart from national history, there are more contents about the | history of the world. You can go to many sections such as the Asian Hall, Egyptian Hall, European Hall and so on. The countless fascinating things will definitely take you the whole day to appreciate. After a visit to the British Museum, you will certainly be able to put your history textbook away! ",NOUN ADP DET,"Apart from national history, there are more contents about the | past of the world. You can go to many sections such as the Asian Hall, Egyptian Hall, European Hall and so on. The countless fascinating things will definitely take you the whole day to appreciate. After a visit to the British Museum, you will certainly be able to put your history textbook away! ",NOUN ADP DET,11,RN NOUN ADP DET,DET NOUN ADP DET,RN DT NN IN DT,True,False
161,76,FN,True,Missing plural,"Last night, when I went into my house it was quite silent. I felt there might be something that had gone wrong. I found my parents sitting in an armchair . I could see sadness in my father's eyes. My mother came over to me and said softly, ; "" My dear, your father's company has just gone bankrupt', then she couldn't help crying. When I heard this bad news, I was very depressed because father worked quite hard for his company. My father always remembered his responsibility was to provide a good salary to his | workers to provide his workers with a good salary , which is the aim of his life. ",NOUN PART VERB,"Last night, when I went into my house it was quite silent. I felt there might be something that had gone wrong. I found my parents sitting in an armchair . I could see sadness in my father's eyes. My mother came over to me and said softly, ; "" My dear, your father's company has just gone bankrupt', then she couldn't help crying. When I heard this bad news, I was very depressed because father worked quite hard for his company. My father always remembered his responsibility was to provide a good salary to his | worker to provide his workers with a good salary , which is the aim of his life. ",NOUN PART VERB,110,FN NOUN PART VERB,DET NOUN PART VERB,FN PRP$ NN TO VB,True,True
1599,62,MP,True,Chinese uses commas to mark the end of a complete thought,"I moved away that year, to a whole new place and a whole new school. Once in a while my old schoolmates came and visited me and we had lots of fun together, just like the old times. However | , I felt I could not talk to them about the problems I was having, the one problem about my parents getting a divorce. ",PUNCT PRON VERB,"I moved away that year, to a whole new place and a whole new school. Once in a while my old schoolmates came and visited me and we had lots of fun together, just like the old times. However | I felt I could not talk to them about the problems I was having, the one problem about my parents getting a divorce. ",PRON VERB PRON,43,MP PRON VERB PRON,ADV PRON VERB PRON,MP RB PRP VBD PRP,True,True
2701,46,FV,False,Incorrectly using progressive aspect,| Use the equipment and space that we have to organise some activities.,VERB DET NOUN,| Using the equipment and space that we have to organise some activities.,VERB DET NOUN,0,FV VERB DET NOUN,VERB DET NOUN CCONJ,FV VBG DT NN CC,True,False
2273,22,RT,False,Chinese doesn't use the word in this context; Misusing about,I was not really satisfied | with the show and I certainly believe that it was not a perfect evening out. I therefore would like to have a refund of the £30 which I spent on the tickets.,ADP DET NOUN,I was not really satisfied | about the show and I certainly believe that it was not a perfect evening out. I therefore would like to have a refund of the £30 which I spent on the tickets.,ADP DET NOUN,5,RT ADP DET NOUN,ADJ ADP DET NOUN,RT JJ IN DT NN,True,False
