,error_type,Negative transfer?,Likely reason for mistake,incorrect_ud_tags,incorrect_ud_tags_padded,incorrect_ud_tags_unigram,incorrect_ud_tags_bigram,en,zhs,nlt
1255,MT,True,Chinese doesn't use the word in this context,ADP,AUX ADP DET,ADP DET,ADP DET NOUN,-4.498852252960205,-5.256208419799805,False
1256,RP,True,Word not capitalized,INTJ,PROPN INTJ VERB,INTJ VERB,INTJ VERB PRON,-6.001136302947998,-7.646051406860352,False
1257,UV,False,Incorrect/incomplete expression used,INTJ,PRON INTJ VERB,INTJ VERB,INTJ VERB ADV,-6.833143711090088,-7.9178900718688965,False
1258,M,True,Chinese conventions conflict with English,PUNCT,ADV PUNCT PRON,PUNCT PRON,PUNCT PRON VERB,-5.68824577331543,-5.788882255554199,False
1259,MP,True,Chinese uses commas to mark the end of a complete thought,INTJ,ADV INTJ PROPN,INTJ PROPN,INTJ PROPN SCONJ,-7.979089736938477,-8.997753143310547,False
1260,MP,True,Chinese uses commas to mark the end of a complete thought,INTJ,ADV INTJ PROPN,INTJ PROPN,INTJ PROPN SCONJ,-7.979089736938477,-8.997753143310547,False
1261,TV,False,Past participle used instead of past tense,VERB,PRON VERB ADV,VERB ADV,VERB ADV PUNCT,-4.155261039733887,-3.874390125274658,True
1262,UT,False,Overcorrection,ADP,ADV ADP PROPN,ADP PROPN,ADP PROPN,-3.764538049697876,-5.085927963256836,False
1263,TV,True,Missing auxiliary with tense errors,VERB,NOUN VERB DET,VERB DET,VERB DET ADJ,-6.094607830047607,-7.968842506408691,False
1264,MP,True,Chinese uses commas to mark the end of a complete thought,NOUN,ADV NOUN VERB,NOUN VERB,NOUN VERB ADV,-5.225372314453125,-5.2636613845825195,False
1265,UD,False,Chinese doesn't distinguish indefinite and definite articles like English,DET,PUNCT DET NOUN,DET NOUN,DET NOUN VERB,-4.161647796630859,-5.49949836730957,False
1267,DV,True,"Chinese verbs, adjectives, and nouns sometimes are the same",VERB,CCONJ VERB PRON,VERB PRON,VERB PRON ADP,-6.403122901916504,-7.380842208862305,False
1268,UD,False,Overcorrection,DET,PUNCT DET NOUN,DET NOUN,DET NOUN VERB,-4.161647796630859,-5.49949836730957,False
1269,RP,False,Inappropriate capitalization in the middle of sentence,ADJ,ADP ADJ NOUN,ADJ NOUN,ADJ NOUN PUNCT,-3.3845911026000977,-3.7189626693725586,False
1270,TV,False,-,AUX,NOUN AUX VERB,AUX VERB,AUX VERB PART,-7.8665361404418945,-9.545186042785645,False
1271,DV,True,"Chinese verbs, adjectives, and nouns sometimes are the same",NOUN,CCONJ NOUN ADP,NOUN ADP,NOUN ADP DET,-6.011322975158691,-7.693400859832764,False
1273,AGN,True,Number error,PROPN,ADJ PROPN AUX,PROPN AUX,PROPN AUX VERB,-5.14912748336792,-9.362936973571777,False
1274,TV,True,Chinese generally expresses actions in present tense,VERB,NOUN VERB ADP,VERB ADP,VERB ADP ADJ,-6.433126449584961,-7.69443416595459,False
1276,FN,True,Missing plural,NOUN,ADJ NOUN PUNCT,NOUN PUNCT,NOUN PUNCT ADP,-5.443028450012207,-7.021975517272949,False
1277,RP,False,Overcorrection,PUNCT,NOUN PUNCT ADV,PUNCT ADV,PUNCT ADV DET,-7.175206184387207,-7.629458427429199,False
1278,RP,True,Chinese uses commas to mark the end of a complete thought,DET,ADV DET PROPN,DET PROPN,DET PROPN PUNCT,-4.317594051361084,-5.843497276306152,False
1279,IN,True,Chinese does not distinguish between mass and count nouns,PROPN,DET PROPN PUNCT,PROPN PUNCT,PROPN PUNCT,-2.8119401931762695,-2.648240804672241,True
1280,MP,True,Chinese uses commas to mark the end of a complete thought,ADP,NOUN ADP NOUN,ADP NOUN,ADP NOUN CCONJ,-6.523858070373535,-7.546314716339111,False
1282,TV,True,Missing auxiliary with tense errors,AUX,PRON AUX VERB,AUX VERB,AUX VERB PART,-7.8665361404418945,-9.545186042785645,False
1283,TV,True,Chinese generally expresses actions in present tense,NOUN,AUX NOUN PART,NOUN PART,NOUN PART VERB,-5.269878387451172,-4.897017478942871,True
1285,MP,True,Chinese uses commas to mark the end of a complete thought,ADP,NOUN ADP NOUN,ADP NOUN,ADP NOUN CCONJ,-6.523858070373535,-7.546314716339111,False
1286,RD,True,Chinese could use a classifier in this context,DET,VERB DET NOUN,DET NOUN,DET NOUN PUNCT,-3.3438291549682617,-3.534750461578369,False
1287,FV,True,Progressive aspect not applied,VERB,ADV VERB DET,VERB DET,VERB DET NOUN,-3.9306564331054688,-5.082910537719727,False
1288,IN,False,Incorrect plural inflection,NOUN,DET NOUN PUNCT,NOUN PUNCT,NOUN PUNCT CCONJ,-5.970077991485596,-7.924770832061768,False
1289,MP,True,Chinese uses commas to mark the end of a complete thought,ADP,NOUN ADP NOUN,ADP NOUN,ADP NOUN CCONJ,-6.523858070373535,-7.546314716339111,False
1290,TV,True,Modal used for polite speech,VERB,PRON VERB ADV,VERB ADV,VERB ADV VERB,-6.000823020935059,-4.665523529052734,True
1291,FN,False,Number disagreement,NOUN,VERB NOUN PUNCT,NOUN PUNCT,NOUN PUNCT,-3.1241037845611572,-2.562624454498291,True
1292,MP,True,Chinese uses commas to mark the end of a complete thought,ADP,NOUN ADP NOUN,ADP NOUN,ADP NOUN PUNCT,-3.7444424629211426,-3.126373767852783,True
1294,UD,False,Chinese doesn't distinguish indefinite and definite articles like English,DET,ADP DET NOUN,DET NOUN,DET NOUN NOUN,-4.525265693664551,-4.9093708992004395,False
1295,UV,False,Unnecessary auxiliary added,AUX,PROPN AUX VERB,AUX VERB,AUX VERB ADP,-5.9264702796936035,-10.943586349487305,False
1296,MD,True,Chinese has no articles and doesn't use classifiers in this situation,PROPN,VERB PROPN PRON,PROPN PRON,PROPN PRON VERB,-6.335604190826416,-6.167964935302734,True
1297,RP,True,Word not capitalized,NOUN,DET NOUN PRON,NOUN PRON,NOUN PRON VERB,-6.103028297424316,-5.854711055755615,True
1298,TV,True,English words map to the same Chinese word,VERB,PRON VERB VERB,VERB VERB,VERB VERB ADJ,-6.757047653198242,-8.015901565551758,False
1299,MC,True,Chinese does not use conjunctions to join clauses,VERB,PUNCT VERB NOUN,VERB NOUN,VERB NOUN CCONJ,-6.591310501098633,-7.645793914794922,False
1300,FN,True,Missing plural,NOUN,VERB NOUN CCONJ,NOUN CCONJ,NOUN CCONJ NOUN,-4.0480265617370605,-4.244129180908203,False
1302,MD,True,Chinese has no articles and doesn't use classifiers in this situation,NOUN,ADV NOUN VERB,NOUN VERB,NOUN VERB VERB,-4.602911949157715,-3.9021053314208984,True
1303,FV,True,Progressive aspect not applied,VERB,PUNCT VERB NOUN,VERB NOUN,VERB NOUN VERB,-4.93519401550293,-4.957067489624023,False
1304,RP,True,Punctuation error related to Spelling errors (missing space),PROPN,ADV PROPN ADP,PROPN ADP,PROPN ADP PROPN,-3.9348840713500977,-4.388355255126953,False
1305,MD,True,Chinese has no articles and doesn't use classifiers in this situation,PROPN,VERB PROPN PRON,PROPN PRON,PROPN PRON VERB,-6.335604190826416,-6.167964935302734,True
1306,MP,True,Chinese uses commas to mark the end of a complete thought,ADV,NOUN ADV NOUN,ADV NOUN,ADV NOUN NOUN,-5.804201126098633,-5.431515693664551,True
1307,MP,False,Such usage of periods don't exist in Chinese,NOUN,PUNCT NOUN PUNCT,NOUN PUNCT,NOUN PUNCT NOUN,-4.792056083679199,-2.8282313346862793,True
1308,RP,True,Chinese uses commas to mark the end of a complete thought,PUNCT,NOUN PUNCT AUX,PUNCT AUX,PUNCT AUX ADV,-7.331001281738281,-9.646427154541016,False
1310,TV,True,English words map to the same Chinese word,VERB,PRON VERB VERB,VERB VERB,VERB VERB ADJ,-6.757047653198242,-8.015901565551758,False
1312,AGV,True,Not applying the 3rd person present tense suffix -s,VERB,NOUN VERB PRON,VERB PRON,VERB PRON DET,-6.451523303985596,-7.543527126312256,False
1313,RP,False,Overcorrection,NOUN,PRON NOUN ADP,NOUN ADP,NOUN ADP NOUN,-3.706831932067871,-5.097160339355469,False
1314,FN,False,Number disagreement,NOUN,ADP NOUN CCONJ,NOUN CCONJ,NOUN CCONJ VERB,-6.168391227722168,-6.190025806427002,False
1315,AGV,True,Not applying the 3rd person present tense suffix -s,VERB,CCONJ VERB PRON,VERB PRON,VERB PRON ADJ,-5.43440580368042,-7.913039207458496,False
1316,RD,False,Wrong determiner used since Chinese doesn't use determiner here,DET,ADP DET ADJ,DET ADJ,DET ADJ NOUN,-3.9540467262268066,-5.575438976287842,False
1317,FN,False,Number disagreement,NOUN,ADJ NOUN PUNCT,NOUN PUNCT,NOUN PUNCT CCONJ,-5.970077991485596,-7.924770832061768,False
1318,RP,True,Chinese uses commas to mark the end of a complete thought,PUNCT,NOUN PUNCT PRON,PUNCT PRON,PUNCT PRON AUX,-6.584131240844727,-8.993627548217773,False
1319,FV,True,Progressive aspect not applied,VERB,ADP VERB PRON,VERB PRON,VERB PRON NUM,-7.3391947746276855,-6.891812324523926,True
1320,MD,True,Chinese has no articles and doesn't use classifiers in this situation,NOUN,ADP NOUN ADV,NOUN ADV,NOUN ADV ADP,-7.217217922210693,-7.451400279998779,False
1321,MD,True,Chinese has no articles and doesn't use classifiers in this situation,NOUN,ADP NOUN ADV,NOUN ADV,NOUN ADV ADP,-7.217217922210693,-7.451400279998779,False
1325,TV,True,Chinese generally expresses actions in present tense,VERB,PART VERB PRON,VERB PRON,VERB PRON ADV,-5.381688594818115,-7.132501602172852,False
1327,UT,False,Overgeneralization of word pairs,ADP,VERB ADP PUNCT,ADP PUNCT,ADP PUNCT CCONJ,-7.480317115783691,-8.722711563110352,False
1328,MV,True,Noun following the verb is the verb in Chinese,DET,VERB DET NOUN,DET NOUN,DET NOUN ADP,-5.797200679779053,-6.639105319976807,False
1329,RP,False,Punctuation works the same in Chinese,PUNCT,VERB PUNCT ADP,PUNCT ADP,PUNCT ADP DET,-6.949182987213135,-7.763592720031738,False
1330,MP,True,Chinese uses commas to mark the end of a complete thought,DET,NOUN DET NOUN,DET NOUN,DET NOUN ADP,-5.797200679779053,-6.639105319976807,False
1336,M,True,Chinese conventions conflict with English,PART,ADJ PART VERB,PART VERB,PART VERB NOUN,-5.567583084106445,-5.518923759460449,True
1337,UD,False,Overcorrection,DET,VERB DET NOUN,DET NOUN,DET NOUN PUNCT,-3.3438291549682617,-3.534750461578369,False
1338,TV,False,Incorrectly using progressive aspect,VERB,ADV VERB NOUN,VERB NOUN,VERB NOUN AUX,-6.728117942810059,-9.202261924743652,False
1339,UV,False,Unnecessary verb added,AUX,PRON AUX VERB,AUX VERB,AUX VERB ADP,-5.9264702796936035,-10.943586349487305,False
1340,AGV,True,Not applying the 3rd person present tense suffix -s,VERB,PRON VERB ADP,VERB ADP,VERB ADP DET,-5.851269721984863,-7.798564910888672,False
1344,RP,True,Chinese uses commas to mark the end of a complete thought,PUNCT,PRON PUNCT PRON,PUNCT PRON,PUNCT PRON VERB,-5.68824577331543,-5.788882255554199,False
1346,MT,True,Chinese doesn't use the word in this context,DET,VERB DET ADJ,DET ADJ,DET ADJ NOUN,-3.9540467262268066,-5.575438976287842,False
1347,UV,False,Unnecessary auxiliary added,VERB,NOUN VERB NOUN,VERB NOUN,VERB NOUN PUNCT,-3.825543165206909,-2.8813514709472656,True
1348,MD,True,Chinese has no articles and doesn't use classifiers in this situation,NOUN,ADP NOUN PUNCT,NOUN PUNCT,NOUN PUNCT PRON,-6.518891334533691,-4.976182460784912,True
1349,FN,False,Number disagreement,PROPN,DET PROPN PUNCT,PROPN PUNCT,PROPN PUNCT PRON,-6.783665180206299,-6.603381156921387,True
1350,IN,False,Incorrect plural inflection,PROPN,DET PROPN PUNCT,PROPN PUNCT,PROPN PUNCT PRON,-6.783665180206299,-6.603381156921387,True
1351,AGA,False,Using 'It' incorrectly,PRON,ADP PRON PUNCT,PRON PUNCT,PRON PUNCT CCONJ,-7.387688636779785,-8.49379825592041,False
1352,FV,False,Incorrectly using past tense,VERB,VERB VERB ADP,VERB ADP,VERB ADP SCONJ,-6.556013584136963,-8.609545707702637,False
1354,MA,True,Chinese is a pro-drop language,ADP,VERB ADP DET,ADP DET,ADP DET NOUN,-4.498852252960205,-5.256208419799805,False
1356,MT,True,"Adding ""concerning""'s or ""for""'s Chinese equivalent would make the sentence more ""formal"" in Chinese",DET,DET NOUN,DET NOUN,DET NOUN ADV,-5.2622785568237305,-6.017061233520508,False
1358,RA,True,Chinese does not have a null pronoun like 'It' so used 'that',DET,PUNCT DET VERB,DET VERB,DET VERB AUX,-6.664654731750488,-9.168259620666504,False
1359,MD,True,Chinese has no articles and doesn't use classifiers in this situation,NOUN,ADP NOUN ADP,NOUN ADP,NOUN ADP PROPN,-3.3043694496154785,-5.090677261352539,False
1360,UN,False,Incorrect/incomplete expression used,NOUN,NOUN NOUN NOUN,NOUN NOUN,NOUN NOUN ADP,-6.03188943862915,-6.254598617553711,False
1361,UV,False,Unnecessary verb added,AUX,NOUN AUX NOUN,AUX NOUN,AUX NOUN ADP,-7.169504165649414,-10.229715347290039,False
1362,MD,True,Chinese has no articles and doesn't use classifiers in this situation,NOUN,ADP NOUN ADP,NOUN ADP,NOUN ADP PROPN,-3.3043694496154785,-5.090677261352539,False
1363,MD,True,Chinese has no articles and doesn't use classifiers in this situation,ADJ,VERB ADJ NOUN,ADJ NOUN,ADJ NOUN PART,-7.271122932434082,-5.542080879211426,True
1364,UT,False,Overcorrection,ADP,VERB ADP DET,ADP DET,ADP DET NOUN,-4.498852252960205,-5.256208419799805,False
1366,FN,False,Number disagreement,NOUN,ADP NOUN ADP,NOUN ADP,NOUN ADP VERB,-6.057988166809082,-6.140923500061035,False
1368,RP,True,Punctuation error related to Spelling errors (missing space),PROPN,ADP PROPN PRON,PROPN PRON,PROPN PRON VERB,-6.335604190826416,-6.167964935302734,True
1369,MT,True,"Adding ""concerning""'s or ""for""'s Chinese equivalent would make the sentence more ""formal"" in Chinese",DET,DET NOUN,DET NOUN,DET NOUN DET,-6.882407188415527,-7.432110786437988,False
1370,UN,True,Chinese conventions conflict with English,NOUN,VERB NOUN PUNCT,NOUN PUNCT,NOUN PUNCT DET,-6.48277473449707,-8.00236988067627,False
1371,UD,False,Chinese doesn't distinguish indefinite and definite articles like English,DET,ADP DET PRON,DET PRON,DET PRON PRON,-8.128069877624512,-8.464048385620117,False
1372,MV,True,Chinese conventions conflict with English,ADV,PRON ADV ADJ,ADV ADJ,ADV ADJ ADP,-6.501270294189453,-8.308564186096191,False
1373,UA,False,Overcorrection,PRON,ADP PRON PUNCT,PRON PUNCT,PRON PUNCT ADV,-7.177423000335693,-7.217329978942871,False
1374,UA,False,Overcorrection,PRON,NOUN PRON AUX,PRON AUX,PRON AUX ADV,-5.361591339111328,-9.606440544128418,False
1375,DN,True,"Chinese verbs, adjectives, and nouns sometimes are the same",PROPN,ADP PROPN NOUN,PROPN NOUN,PROPN NOUN PUNCT,-3.6745376586914062,-3.2047278881073,True
1376,FN,False,Number disagreement,NOUN,NOUN NOUN PUNCT,NOUN PUNCT,NOUN PUNCT ADV,-5.249488353729248,-7.010376930236816,False
1377,TV,False,Past tense used instead of past perfect,VERB,PRON VERB NUM,VERB NUM,VERB NUM ADP,-7.86732816696167,-7.605251312255859,True
1378,M,True,Chinese conventions conflict with English,DET,VERB DET NOUN,DET NOUN,DET NOUN PUNCT,-3.3438291549682617,-3.534750461578369,False
1379,UP,False,Error that native speakers would make as well,PUNCT,VERB PUNCT PRON,PUNCT PRON,PUNCT PRON VERB,-5.68824577331543,-5.788882255554199,False
1380,TV,True,Chinese generally expresses actions in present tense,AUX,PRON AUX ADJ,AUX ADJ,AUX ADJ PART,-7.964875221252441,-10.421199798583984,False
1381,UD,False,Overcorrection,DET,ADP DET PRON,DET PRON,DET PRON PRON,-8.128069877624512,-8.464048385620117,False
1382,FN,False,Number disagreement,NOUN,NOUN NOUN PUNCT,NOUN PUNCT,NOUN PUNCT ADV,-5.249488353729248,-7.010376930236816,False
1383,RP,False,Overcorrection,PROPN,ADP PROPN PUNCT,PROPN PUNCT,PROPN PUNCT PRON,-6.783665180206299,-6.603381156921387,True
1384,UT,True,Chinese would use word in the given context,ADP,VERB ADP DET,ADP DET,ADP DET NOUN,-4.498852252960205,-5.256208419799805,False
1385,AGN,True,Number error,NOUN,NOUN NOUN PUNCT,NOUN PUNCT,NOUN PUNCT SCONJ,-7.142324447631836,-8.117795944213867,False
1386,UC,False,Overcorrection,CCONJ,PUNCT CCONJ PRON,CCONJ PRON,CCONJ PRON AUX,-5.413758277893066,-9.023383140563965,False
1387,DN,True,"Chinese verbs, adjectives, and nouns sometimes are the same",ADJ,ADP ADJ ADP,ADJ ADP,ADJ ADP PRON,-5.366678237915039,-8.193174362182617,False
1389,M,True,Incorrect introduction of subordinate clause or modifiers,DET,ADV DET NOUN,DET NOUN,DET NOUN PRON,-7.073720932006836,-6.794076442718506,True
1390,UT,False,Overcorrection,ADP,DET ADP NOUN,ADP NOUN,ADP NOUN PRON,-7.447781562805176,-6.627254486083984,True
1391,M,False,Word omitted even though in the Chinese translation it would be there,NOUN,CCONJ NOUN PRON,NOUN PRON,NOUN PRON VERB,-6.103028297424316,-5.854711055755615,True
1392,UV,False,Unnecessary auxiliary added,AUX,NOUN AUX PRON,AUX PRON,AUX PRON VERB,-5.276817321777344,-9.578195571899414,False
1393,FV,False,Incorrectly using past tense,VERB,ADP VERB PUNCT,VERB PUNCT,VERB PUNCT,-3.648987054824829,-2.777564525604248,True
1394,RP,True,Chinese uses commas to mark the end of a complete thought,PUNCT,SCONJ PUNCT SCONJ,PUNCT SCONJ,PUNCT SCONJ NOUN,-6.294191360473633,-6.675199508666992,False
1395,MP,True,Chinese uses commas to mark the end of a complete thought,ADV,NOUN ADV ADP,ADV ADP,ADV ADP NOUN,-5.18149471282959,-6.213978290557861,False
1396,FN,True,Missing plural,NOUN,ADP NOUN PUNCT,NOUN PUNCT,NOUN PUNCT SCONJ,-7.142324447631836,-8.117795944213867,False
1398,FV,False,Incorrectly using progressive aspect,NOUN,ADP NOUN PUNCT,NOUN PUNCT,NOUN PUNCT ADV,-5.249488353729248,-7.010376930236816,False
1401,MV,True,Missing modal,ADV,PRON ADV ADP,ADV ADP,ADV ADP NOUN,-5.18149471282959,-6.213978290557861,False
1402,UD,False,Overcorrection,DET,ADP DET NOUN,DET NOUN,DET NOUN ADP,-5.797200679779053,-6.639105319976807,False
1403,UP,False,Error that native speakers would make as well,PUNCT,CCONJ PUNCT ADP,PUNCT ADP,PUNCT ADP DET,-6.949182987213135,-7.763592720031738,False
1404,UC,False,Wordiness,ADV,CCONJ ADV ADP,ADV ADP,ADV ADP DET,-6.74603796005249,-7.45008659362793,False
1405,UP,False,Error that native speakers would make as well,PUNCT,CCONJ PUNCT ADP,PUNCT ADP,PUNCT ADP DET,-6.949182987213135,-7.763592720031738,False
1406,UV,False,Contraction with verb error,PRON,VERB PRON AUX,PRON AUX,PRON AUX ADV,-5.361591339111328,-9.606440544128418,False
1407,AGV,False,Incorrect application of 3rd person present tense (e.g. tagging on the suffix -s),AUX,ADV AUX PART,AUX PART,AUX PART VERB,-5.638934135437012,-9.621009826660156,False
1409,FN,True,Missing plural,NOUN,DET NOUN PUNCT,NOUN PUNCT,NOUN PUNCT ADP,-5.443028450012207,-7.021975517272949,False
1410,UP,False,Error that native speakers would make as well,PUNCT,CCONJ PUNCT ADP,PUNCT ADP,PUNCT ADP DET,-6.949182987213135,-7.763592720031738,False
1411,UP,False,Error that native speakers would make as well,PUNCT,CCONJ PUNCT ADP,PUNCT ADP,PUNCT ADP DET,-6.949182987213135,-7.763592720031738,False
1412,FV,True,Progressive aspect not applied,VERB,ADV VERB ADP,VERB ADP,VERB ADP ADP,-7.290966987609863,-7.554797649383545,False
1413,UT,False,Overcorrecting for prepositions introducing subordinate phrases,ADP,NOUN ADP ADV,ADP ADV,ADP ADV PART,-8.094866752624512,-6.9286017417907715,True
1414,FV,False,Incorrectly using progressive aspect,VERB,ADV VERB CCONJ,VERB CCONJ,VERB CCONJ VERB,-5.085088729858398,-5.9557929039001465,False
1415,FV,False,Incorrectly using progressive aspect,VERB,NOUN VERB DET,VERB DET,VERB DET ADJ,-6.094607830047607,-7.968842506408691,False
1416,UD,True,Chinese uses a character that maps a determiner in this case,DET,AUX DET DET,DET DET,DET DET ADJ,-6.555248260498047,-7.91130256652832,False
1418,UP,True,Chinese in many contexts use colons in letters,PUNCT,ADJ PUNCT PROPN,PUNCT PROPN,PUNCT PROPN PROPN,-4.198847770690918,-5.0045166015625,False
1419,MT,True,Chinese doesn't use the word in this context,DET,VERB DET ADJ,DET ADJ,DET ADJ ADJ,-6.685065269470215,-8.380319595336914,False
1420,UV,False,Contraction with verb error,PRON,VERB PRON AUX,PRON AUX,PRON AUX VERB,-5.757172584533691,-9.348431587219238,False
1423,MD,True,Chinese has no articles and doesn't use classifiers in this situation,PUNCT,ADP PUNCT PROPN,PUNCT PROPN,PUNCT PROPN PROPN,-4.198847770690918,-5.0045166015625,False
1424,UT,False,Overcorrection,ADP,NOUN ADP PUNCT,ADP PUNCT,ADP PUNCT PROPN,-5.997808933258057,-5.646579742431641,True
1425,DJ,True,"Chinese verbs, adjectives, and nouns sometimes are the same",NOUN,ADV NOUN PUNCT,NOUN PUNCT,NOUN PUNCT SCONJ,-7.142324447631836,-8.117795944213867,False
1426,UY,False,Wordiness,ADV,PRON ADV ADV,ADV ADV,ADV ADV AUX,-6.8284101486206055,-9.045063018798828,False
1428,RP,True,Using posessive apostrophy as Chinese 'de',PROPN,NUM PROPN PART,PROPN PART,PROPN PART NOUN,-4.3802289962768555,-3.930363655090332,True
1429,UV,True,Chinese conventions conflict with English,VERB,NOUN VERB PUNCT,VERB PUNCT,VERB PUNCT PRON,-7.267339706420898,-6.750541687011719,True
1430,MD,True,Chinese has no articles and doesn't use classifiers in this situation,ADJ,ADP ADJ NOUN,ADJ NOUN,ADJ NOUN AUX,-5.9208831787109375,-9.173155784606934,False
1431,TV,True,Context carries tense rather than verb.,VERB,NOUN VERB ADP,VERB ADP,VERB ADP PRON,-5.618310928344727,-6.857648849487305,False
1432,MD,True,Chinese uses classifiers instead of articles in this case,PUNCT,ADP PUNCT NOUN,PUNCT NOUN,PUNCT NOUN NOUN,-5.515451431274414,-4.615063190460205,True
1433,FV,True,Progressive aspect not applied,VERB,SCONJ VERB PRON,VERB PRON,VERB PRON ADV,-5.381688594818115,-7.132501602172852,False
1434,FV,True,Progressive aspect not applied,VERB,VERB ADV,VERB ADV,VERB ADV ADP,-7.00925874710083,-7.517004013061523,False
1436,AGN,False,Overcorrection,NOUN,ADJ NOUN VERB,NOUN VERB,NOUN VERB PROPN,-5.276371955871582,-3.7084994316101074,True
1437,IV,False,Spelling error,NOUN,PRON NOUN DET,NOUN DET,NOUN DET NOUN,-6.105917930603027,-5.631524562835693,True
1438,AGN,False,Overcorrection,NOUN,DET NOUN NOUN,NOUN NOUN,NOUN NOUN VERB,-5.239044666290283,-3.6633570194244385,True
1439,FV,False,Incorrectly using past tense,VERB,NOUN VERB PRON,VERB PRON,VERB PRON PUNCT,-3.7528810501098633,-3.5545694828033447,True
1441,MA,False,Chinese expresses this in a different order/structure,AUX,NOUN AUX VERB,AUX VERB,AUX VERB ADP,-5.9264702796936035,-10.943586349487305,False
1442,AGN,True,Number error,NOUN,ADJ NOUN PUNCT,NOUN PUNCT,NOUN PUNCT PROPN,-3.8684492111206055,-3.011202096939087,True
1443,MD,True,Chinese has no articles and doesn't use classifiers in this situation,ADJ,SCONJ ADJ NOUN,ADJ NOUN,ADJ NOUN AUX,-5.9208831787109375,-9.173155784606934,False
1444,MA,False,Chinese expresses this in a different order/structure,AUX,NOUN AUX DET,AUX DET,AUX DET ADJ,-6.400934219360352,-10.999109268188477,False
1445,TV,True,English words map to the same Chinese word,VERB,CCONJ VERB VERB,VERB VERB,VERB VERB ADP,-6.624293804168701,-7.47643518447876,False
1447,FN,True,Missing plural,NOUN,CCONJ NOUN PUNCT,NOUN PUNCT,NOUN PUNCT CCONJ,-5.970077991485596,-7.924770832061768,False
1448,TV,True,Chinese generally expresses actions in present tense,VERB,PROPN VERB PART,VERB PART,VERB PART VERB,-4.857645511627197,-5.169448375701904,False
1449,FV,True,"Missing ""to"" for to-infinitive non-finite subordinate clauses",NOUN,VERB NOUN DET,NOUN DET,NOUN DET NOUN,-6.105917930603027,-5.631524562835693,True
1450,RP,False,Overcorrection,NOUN,VERB NOUN PUNCT,NOUN PUNCT,NOUN PUNCT PRON,-6.518891334533691,-4.976182460784912,True
1451,UY,False,Wordiness,ADV,PUNCT ADV PRON,ADV PRON,ADV PRON AUX,-6.139682769775391,-8.895179748535156,False
1452,M,True,Chinese conventions conflict with English,PROPN,VERB PROPN DET,PROPN DET,PROPN DET NOUN,-5.235739707946777,-6.093103408813477,False
1453,RP,True,Punctuation error related to Spelling errors (missing space),NOUN,NOUN NOUN CCONJ,NOUN CCONJ,NOUN CCONJ VERB,-6.168391227722168,-6.190025806427002,False
1454,TV,True,Chinese generally expresses actions in present tense,VERB,CCONJ VERB ADP,VERB ADP,VERB ADP PRON,-5.618310928344727,-6.857648849487305,False
1455,MT,True,Chinese doesn't use the word in this context,PRON,VERB PRON ADP,PRON ADP,PRON ADP DET,-6.912907123565674,-7.571724891662598,False
1457,AGN,True,Number error,NOUN,ADJ NOUN PUNCT,NOUN PUNCT,NOUN PUNCT ADP,-5.443028450012207,-7.021975517272949,False
1458,MD,True,Chinese uses classifiers instead of articles in this case,NOUN,ADJ NOUN PUNCT,NOUN PUNCT,NOUN PUNCT DET,-6.48277473449707,-8.00236988067627,False
1459,MD,True,Chinese has no articles and doesn't use classifiers in this situation,ADJ,PUNCT ADJ NOUN,ADJ NOUN,ADJ NOUN ADV,-5.937061309814453,-5.9900007247924805,False
1460,AGV,True,Not applying the 3rd person present tense suffix -s,ADV,ADV ADV PUNCT,ADV PUNCT,ADV PUNCT PROPN,-5.597131729125977,-5.7189764976501465,False
1461,AGV,True,Not applying the 3rd person present tense suffix -s,VERB,CCONJ VERB ADP,VERB ADP,VERB ADP DET,-5.851269721984863,-7.798564910888672,False
1463,MP,False,Punctuation works the same in Chinese,PUNCT,NOUN PUNCT PROPN,PUNCT PROPN,PUNCT PROPN PUNCT,-4.395102500915527,-3.6013400554656982,True
1464,MP,True,Chinese sentence structure differs from English,VERB,PUNCT VERB ADP,VERB ADP,VERB ADP PRON,-5.618310928344727,-6.857648849487305,False
1465,MP,True,Chinese sentence structure differs from English,VERB,PUNCT VERB ADP,VERB ADP,VERB ADP PRON,-5.618310928344727,-6.857648849487305,False
1466,FV,True,Progressive aspect not applied,NOUN,AUX NOUN ADP,NOUN ADP,NOUN ADP DET,-6.011322975158691,-7.693400859832764,False
1467,MP,False,Punctuation works the same in Chinese,PROPN,PUNCT PROPN VERB,PROPN VERB,PROPN VERB DET,-4.923633575439453,-7.545446395874023,False
1468,UV,False,Unnecessary auxiliary added,AUX,DET AUX ADJ,AUX ADJ,AUX ADJ NOUN,-6.134273529052734,-9.42715072631836,False
1469,RA,False,Using a personhood pronoun inappropriately,PRON,PUNCT PRON AUX,PRON AUX,PRON AUX ADV,-5.361591339111328,-9.606440544128418,False
1470,UD,True,Chinese uses classifiers in this case,DET,VERB DET NOUN,DET NOUN,DET NOUN PUNCT,-3.3438291549682617,-3.534750461578369,False
1471,AGN,True,Number error,NOUN,ADJ NOUN PRON,NOUN PRON,NOUN PRON VERB,-6.103028297424316,-5.854711055755615,True
1472,RP,True,Word not capitalized,PROPN,PROPN PROPN PUNCT,PROPN PUNCT,PROPN PUNCT,-2.8119401931762695,-2.648240804672241,True
