,error_type,Negative transfer?,Likely reason for mistake,incorrect_ud_tags,incorrect_ud_tags_padded,incorrect_ud_tags_unigram,incorrect_ud_tags_bigram,nlt,result
1543,UD,False,Overcorrection,DET,ADP DET NOUN,DET NOUN,DET NOUN ADP,False,True
1544,MT,True,Grammatical to exclude or include the word in Chinese,DET,NOUN DET NOUN,DET NOUN,DET NOUN PUNCT,False,False
1546,DJ,True,"Chinese verbs, adjectives, and nouns sometimes are the same",NOUN,ADJ NOUN PUNCT,NOUN PUNCT,NOUN PUNCT CCONJ,False,False
1547,TV,True,Generally Chinese usually express feelings in present tense,AUX,PROPN AUX PART,AUX PART,AUX PART VERB,False,False
1548,DN,True,"Chinese verbs, adjectives, and nouns sometimes are the same",VERB,ADP VERB DET,VERB DET,VERB DET PRON,False,False
1549,UV,False,Unnecessary verb added,AUX,DET AUX PRON,AUX PRON,AUX PRON VERB,False,True
1551,MA,True,Chinese is a pro-drop language,AUX,ADV AUX DET,AUX DET,AUX DET NOUN,False,False
1552,TV,False,-,AUX,ADJ AUX PRON,AUX PRON,AUX PRON VERB,False,True
1553,MP,True,Chinese uses commas to mark the end of a complete thought,PRON,ADV PRON VERB,PRON VERB,PRON VERB DET,False,False
1554,TV,False,Past tense used instead of past participle,VERB,AUX VERB AUX,VERB AUX,VERB AUX ADJ,False,True
1555,AGV,True,3rd person plural verb form used instead of 3rd person singular form,AUX,VERB AUX ADJ,AUX ADJ,AUX ADJ ADP,False,False
1556,FV,False,Incorrect application of 3rd person present tense suffix -s,VERB,VERB VERB DET,VERB DET,VERB DET NOUN,False,True
1558,UA,False,Overcorrection,PRON,VERB PRON PUNCT,PRON PUNCT,PRON PUNCT ADP,False,True
1559,MP,True,Chinese uses commas to mark the end of a complete thought,DET,NOUN DET NOUN,DET NOUN,DET NOUN ADV,False,False
1560,TV,True,Chinese generally expresses actions in present tense,VERB,ADV VERB PART,VERB PART,VERB PART AUX,True,True
1561,MV,True,Chinese conventions conflict with English,ADV,VERB ADV ADV,ADV ADV,ADV ADV ADJ,False,False
1562,MP,True,Chinese uses commas to mark the end of a complete thought,DET,NOUN DET NOUN,DET NOUN,DET NOUN ADV,False,False
1564,AGV,True,Not applying the 3rd person present tense suffix -s,VERB,PRON VERB PRON,VERB PRON,VERB PRON VERB,True,True
1565,M,False,Word omitted even though in the Chinese translation it would be there,VERB,NOUN VERB PART,VERB PART,VERB PART VERB,True,False
1568,MD,True,Chinese has no articles and doesn't use classifiers in this situation,NOUN,AUX NOUN ADP,NOUN ADP,NOUN ADP DET,False,False
1569,MD,True,Chinese has no articles and doesn't use classifiers in this situation,PROPN,ADJ PROPN PROPN,PROPN PROPN,PROPN PROPN PROPN,False,False
1570,RD,True,Chinese uses a character that maps a determiner in this case,DET,ADP DET NOUN,DET NOUN,DET NOUN AUX,False,False
1571,DY,False,Spelling error,PROPN,PUNCT PROPN DET,PROPN DET,PROPN DET NOUN,False,True
1572,MP,True,Chinese uses commas to mark the end of a complete thought,DET,NUM DET AUX,DET AUX,DET AUX ADP,False,False
1573,M,False,Word omitted even though in the Chinese translation it would be there,NOUN,PUNCT NOUN ADV,NOUN ADV,NOUN ADV ADV,False,True
1574,MT,True,Chinese doesn't use the word in this context,DET,VERB DET NOUN,DET NOUN,DET NOUN PART,True,True
1575,CQ,False,Wrong quantifier used (countability),DET,VERB DET ADJ,DET ADJ,DET ADJ NOUN,False,True
1576,MC,True,Chinese does not use conjunctions to join clauses,PRON,VERB PRON AUX,PRON AUX,PRON AUX ADJ,False,False
1577,RP,False,Error that native speakers would make as well,PUNCT,PART PUNCT PRON,PUNCT PRON,PUNCT PRON VERB,True,False
1579,MT,True,Grammatical to exclude or include the word in Chinese,DET,VERB DET ADJ,DET ADJ,DET ADJ NOUN,False,False
1582,TV,True,Chinese generally expresses actions in present tense,VERB,PRON VERB ADJ,VERB ADJ,VERB ADJ NOUN,False,False
1583,FN,False,Number disagreement,NOUN,DET NOUN VERB,NOUN VERB,NOUN VERB AUX,True,False
1585,FV,False,Incorrectly using past tense,VERB,PROPN VERB ADP,VERB ADP,VERB ADP DET,False,True
1586,M,True,Chinese conventions conflict with English,ADJ,PUNCT ADJ PUNCT,ADJ PUNCT,ADJ PUNCT PRON,False,False
1587,RP,True,Chinese uses commas to mark the end of a complete thought,PUNCT,ADJ PUNCT PRON,PUNCT PRON,PUNCT PRON VERB,True,True
1588,MD,True,Chinese has no articles and doesn't use classifiers in this situation,PROPN,CCONJ PROPN NOUN,PROPN NOUN,PROPN NOUN AUX,False,False
1589,MP,True,Possessive structure would not be used in here in Chinese,VERB,PUNCT VERB DET,VERB DET,VERB DET VERB,True,True
1590,RP,True,Chinese uses commas to mark the end of a complete thought,PUNCT,NOUN PUNCT PRON,PUNCT PRON,PUNCT PRON VERB,True,True
1591,UC,False,Overcorrection,SCONJ,ADP SCONJ ADV,SCONJ ADV,SCONJ ADV PRON,False,True
1592,MD,True,Word omitted even though in the Chinese translation it would be there,NUM,ADP NUM NOUN,NUM NOUN,NUM NOUN PUNCT,True,True
1593,MN,False,Subject or object not specified,PUNCT,DET PUNCT ADV,PUNCT ADV,PUNCT ADV DET,False,True
1594,MV,True,Missing modal,ADJ,VERB ADJ ADP,ADJ ADP,ADJ ADP PRON,False,False
1595,MN,False,Equivalent word exists but is not used,PUNCT,PROPN PUNCT VERB,PUNCT VERB,PUNCT VERB AUX,False,True
1596,TV,True,Chinese generally expresses actions in present tense,AUX,PUNCT AUX VERB,AUX VERB,AUX VERB ADP,False,False
1599,MD,True,Chinese has no articles and doesn't use classifiers in this situation,PROPN,ADP PROPN PROPN,PROPN PROPN,PROPN PROPN PROPN,False,False
1600,UP,False,Error that native speakers would make as well,PUNCT,VERB PUNCT AUX,PUNCT AUX,PUNCT AUX ADV,False,True
1601,L,False,Misunderstanding of word usage/meaning,ADV,AUX ADV ADJ,ADV ADJ,ADV ADJ ADP,False,True
1602,RP,True,Chinese uses commas to mark the end of a complete thought,PUNCT,PRON PUNCT PRON,PUNCT PRON,PUNCT PRON VERB,True,True
1604,MV,True,Chinese conventions conflict with English,ADJ,VERB ADJ ADP,ADJ ADP,ADJ ADP NOUN,False,False
1605,MT,True,Chinese doesn't use the word in this context,NUM,VERB NUM NOUN,NUM NOUN,NUM NOUN PUNCT,True,True
1606,FV,True,"Missing ""to"" for to-infinitive non-finite subordinate clauses",VERB,VERB VERB DET,VERB DET,VERB DET NOUN,False,False
1607,MV,False,Missing word is important to the sentence,VERB,PRON VERB DET,VERB DET,VERB DET NOUN,False,True
1610,IV,False,Spelling error,VERB,NOUN VERB NUM,VERB NUM,VERB NUM NOUN,True,False
1611,TV,True,Chinese generally expresses actions in present tense,ADJ,NOUN ADJ PART,ADJ PART,ADJ PART VERB,True,True
1612,IV,False,Wrong past tense inflection,VERB,PRON VERB ADP,VERB ADP,VERB ADP DET,False,True
1613,MD,True,Chinese has no articles and doesn't use classifiers in this situation,NOUN,ADP NOUN NOUN,NOUN NOUN,NOUN NOUN ADP,False,False
1614,RP,True,Chinese uses commas to mark the end of a complete thought,PUNCT,ADJ PUNCT ADV,PUNCT ADV,PUNCT ADV PRON,False,False
1615,MV,True,Chinese conventions conflict with English,ADV,CCONJ ADV PART,ADV PART,ADV PART VERB,True,True
1616,RA,False,general grammar rules confusion,PRON,VERB PRON ADP,PRON ADP,PRON ADP DET,False,True
1617,FD,False,Wrong determiner used,DET,AUX DET NOUN,DET NOUN,DET NOUN PUNCT,False,True
1618,RP,True,Chinese uses commas to mark the end of a complete thought,PUNCT,NOUN PUNCT PRON,PUNCT PRON,PUNCT PRON VERB,True,True
1619,M,False,Word omitted even though in the Chinese translation it would be there,ADP,VERB ADP PUNCT,ADP PUNCT,ADP PUNCT VERB,True,False
1620,RP,True,Chinese uses commas to mark the end of a complete thought,NOUN,PUNCT NOUN PUNCT,NOUN PUNCT,NOUN PUNCT VERB,True,True
1621,RD,False,Wrong determiner used since Chinese doesn't use determiner here,DET,ADP DET NOUN,DET NOUN,DET NOUN PUNCT,False,True
1625,MY,True,Chinese would use word in this context,PART,VERB PART VERB,PART VERB,PART VERB DET,True,True
1626,MC,True,Chinese does not use conjunctions to join clauses,ADV,PUNCT ADV VERB,ADV VERB,ADV VERB ADV,True,True
1627,FV,True,Progressive aspect not applied,VERB,VERB VERB ADP,VERB ADP,VERB ADP PRON,False,False
1628,MV,True,Chinese conventions conflict with English,ADV,PRON ADV NUM,ADV NUM,ADV NUM NOUN,True,True
1629,RP,True,Chinese uses commas to mark the end of a complete thought,PUNCT,NOUN PUNCT PRON,PUNCT PRON,PUNCT PRON VERB,True,True
1632,TV,True,Chinese generally expresses actions in present tense,VERB,PRON VERB ADP,VERB ADP,VERB ADP VERB,True,True
1633,UP,False,Error that native speakers would make as well,PUNCT,VERB PUNCT ADP,PUNCT ADP,PUNCT ADP VERB,False,True
1634,MT,True,Chinese doesn't use the word in this context,VERB,VERB VERB SCONJ,VERB SCONJ,VERB SCONJ VERB,True,True
1635,FV,True,Progressive aspect not applied,VERB,ADP VERB DET,VERB DET,VERB DET VERB,True,True
1636,FV,False,Incorrectly using past tense,VERB,SCONJ VERB NOUN,VERB NOUN,VERB NOUN PUNCT,True,False
1638,UP,False,Overcorrection,PROPN,DET PROPN PUNCT,PROPN PUNCT,PROPN PUNCT NOUN,True,False
1639,UT,False,Overcorrecting by introducing locations or time using prepositions,ADP,NOUN ADP ADJ,ADP ADJ,ADP ADJ PROPN,False,True
1640,FN,False,Number disagreement,NOUN,ADJ NOUN ADP,NOUN ADP,NOUN ADP PRON,False,True
1641,RA,False,Random pronoun used instead of null pronoun,PRON,PUNCT PRON VERB,PRON VERB,PRON VERB NOUN,True,False
1643,FV,False,Incorrectly using past tense,VERB,NOUN VERB DET,VERB DET,VERB DET NOUN,False,True
1644,FV,False,Incorrectly using past tense,VERB,PUNCT VERB PUNCT,VERB PUNCT,VERB PUNCT CCONJ,False,True
1645,UA,False,Overcorrection,PRON,VERB PRON PUNCT,PRON PUNCT,PRON PUNCT CCONJ,False,True
1646,MC,True,Chinese does not use conjunctions to join clauses,ADV,PUNCT ADV PRON,ADV PRON,ADV PRON VERB,True,True
1647,RD,False,Wrong determiner used since Chinese doesn't use determiner here,DET,VERB DET ADJ,DET ADJ,DET ADJ NOUN,False,True
1648,FV,False,Incorrectly using past tense,VERB,PUNCT VERB DET,VERB DET,VERB DET NOUN,False,True
1649,RA,False,Using 'It' incorrectly,PRON,ADP PRON PUNCT,PRON PUNCT,PRON PUNCT NUM,False,True
1650,MD,True,Chinese has no articles and doesn't use classifiers in this situation,NOUN,DET NOUN AUX,NOUN AUX,NOUN AUX ADV,False,False
1652,TV,True,Chinese generally expresses actions in present tense,VERB,ADV VERB NOUN,VERB NOUN,VERB NOUN PUNCT,True,True
1653,MD,True,Chinese uses classifiers instead of articles in this case,ADV,AUX ADV ADJ,ADV ADJ,ADV ADJ NOUN,False,False
1654,MN,False,Equivalent word exists but is not used,PART,ADJ PART VERB,PART VERB,PART VERB DET,True,False
1655,FV,False,Incorrectly using past tense,VERB,ADP VERB DET,VERB DET,VERB DET NOUN,False,True
1656,MA,False,Pronoun can also be used here in Chinese,AUX,SCONJ AUX DET,AUX DET,AUX DET ADJ,False,True
1657,AGD,False,Pronoun not used in Chinese,DET,AUX DET ADJ,DET ADJ,DET ADJ NOUN,False,True
1658,RP,True,Chinese uses commas to mark the end of a complete thought,PUNCT,NOUN PUNCT ADP,PUNCT ADP,PUNCT ADP DET,False,False
1659,M,True,Chinese conventions conflict with English,NOUN,DET NOUN NOUN,NOUN NOUN,NOUN NOUN AUX,True,True
1660,RP,False,Unexplainable punctuation used,PUNCT,PROPN PUNCT SCONJ,PUNCT SCONJ,PUNCT SCONJ PRON,False,True
1661,FN,True,Missing plural,NOUN,ADJ NOUN CCONJ,NOUN CCONJ,NOUN CCONJ NOUN,True,True
1662,MP,True,Chinese uses commas to mark the end of a complete thought,PRON,NOUN PRON VERB,PRON VERB,PRON VERB AUX,False,False
1663,RP,True,Chinese uses commas to mark the end of a complete thought,PRON,PUNCT PRON VERB,PRON VERB,PRON VERB AUX,False,False
1665,AGA,True,Used singular form instead of plural form,DET,DET AUX,DET AUX,DET AUX ADV,False,False
1666,DJ,True,"Chinese verbs, adjectives, and nouns sometimes are the same",ADJ,DET ADJ NOUN,ADJ NOUN,ADJ NOUN PUNCT,True,True
1667,FV,True,Progressive aspect not applied,VERB,AUX VERB ADV,VERB ADV,VERB ADV ADP,False,False
1669,FN,False,Number disagreement,NOUN,DET NOUN PUNCT,NOUN PUNCT,NOUN PUNCT,True,False
1670,RA,False,Using 'It' incorrectly,PRON,PRON AUX,PRON AUX,PRON AUX ADV,False,True
1671,RP,True,Chinese uses commas to mark the end of a complete thought,PUNCT,NOUN PUNCT DET,PUNCT DET,PUNCT DET ADP,False,False
1673,RP,True,Chinese uses commas to mark the end of a complete thought,PUNCT,NOUN PUNCT PRON,PUNCT PRON,PUNCT PRON AUX,False,False
1674,AGV,True,Not applying the 3rd person present tense suffix -s,VERB,PRON VERB PART,VERB PART,VERB PART VERB,True,True
1675,MD,True,Chinese has no articles and doesn't use classifiers in this situation,NOUN,VERB NOUN PUNCT,NOUN PUNCT,NOUN PUNCT PRON,True,True
1676,AGA,False,Using 'It' incorrectly,PRON,VERB PRON PUNCT,PRON PUNCT,PRON PUNCT SCONJ,False,True
1677,MA,True,Chinese is a pro-drop language,PUNCT,VERB PUNCT PRON,PUNCT PRON,PUNCT PRON VERB,True,True
1678,UP,False,Incorrect modal contractions,PROPN,PRON PROPN VERB,PROPN VERB,PROPN VERB PART,True,False
1679,MD,True,Chinese has no articles and doesn't use classifiers in this situation,NOUN,VERB NOUN PUNCT,NOUN PUNCT,NOUN PUNCT SCONJ,True,True
1681,MD,True,Chinese has no articles and doesn't use classifiers in this situation,PROPN,ADP PROPN PROPN,PROPN PROPN,PROPN PROPN SYM,False,False
1682,RA,False,Using 'It' incorrectly,PRON,ADP PRON PUNCT,PRON PUNCT,PRON PUNCT ADV,False,True
1683,MD,True,Chinese has no articles and doesn't use classifiers in this situation,NOUN,VERB NOUN PUNCT,NOUN PUNCT,NOUN PUNCT SCONJ,True,True
1684,RP,True,Chinese uses commas to mark the end of a complete thought,ADV,PUNCT ADV ADJ,ADV ADJ,ADV ADJ PUNCT,False,False
1686,RP,True,Chinese uses commas to mark the end of a complete thought,PUNCT,PROPN PUNCT PRON,PUNCT PRON,PUNCT PRON VERB,True,True
1687,FV,False,Incorrectly using progressive aspect,VERB,CCONJ VERB ADV,VERB ADV,VERB ADV ADP,False,True
1688,MD,True,Chinese has no articles and doesn't use classifiers in this situation,NOUN,ADP NOUN ADP,NOUN ADP,NOUN ADP PROPN,False,False
1690,MT,True,Chinese doesn't use the word in this context,VERB,NOUN VERB ADP,VERB ADP,VERB ADP DET,False,False
1691,TV,False,-,VERB,ADV VERB PART,VERB PART,VERB PART VERB,True,False
1692,MA,False,Chinese expresses this in a different order/structure,VERB,NOUN VERB VERB,VERB VERB,VERB VERB PRON,True,False
1693,RA,False,Using possessive case inappropriately,PRON,VERB PRON DET,PRON DET,PRON DET NOUN,False,True
1695,MD,True,Chinese has no articles and doesn't use classifiers in this situation,NOUN,VERB NOUN NOUN,NOUN NOUN,NOUN NOUN PUNCT,True,True
1696,RP,True,Chinese uses commas to mark the end of a complete thought,PUNCT,NOUN PUNCT PRON,PUNCT PRON,PUNCT PRON VERB,True,True
1697,AGV,True,3rd person plural verb form used instead of 3rd person singular form,AUX,NOUN AUX VERB,AUX VERB,AUX VERB ADJ,False,False
1698,MD,True,Chinese has no articles and doesn't use classifiers in this situation,NOUN,VERB NOUN NOUN,NOUN NOUN,NOUN NOUN PUNCT,True,True
1699,TV,True,Confusion that auxiliary tense needs to match with past participle tense,AUX,PRON AUX VERB,AUX VERB,AUX VERB NOUN,False,False
1700,UD,False,Overcorrection,DET,VERB DET NOUN,DET NOUN,DET NOUN ADP,False,True
1701,UC,False,Overcorrection,SCONJ,PRON SCONJ ADV,SCONJ ADV,SCONJ ADV ADJ,False,True
1702,TV,True,Modal used for polite speech,VERB,PRON VERB VERB,VERB VERB,VERB VERB ADP,False,False
1703,UA,False,Overcorrection,PRON,VERB PRON ADP,PRON ADP,PRON ADP PRON,False,True
1705,MD,True,Chinese has no articles and doesn't use classifiers in this situation,PROPN,ADP PROPN VERB,PROPN VERB,PROPN VERB PRON,True,True
1708,MT,True,Chinese doesn't use the word in this context,ADJ,VERB ADJ NOUN,ADJ NOUN,ADJ NOUN PUNCT,True,True
1709,UD,False,Overcorrection,DET,AUX DET ADJ,DET ADJ,DET ADJ NOUN,False,True
1710,RP,True,Chinese uses commas to mark the end of a complete thought,PUNCT,NOUN PUNCT PRON,PUNCT PRON,PUNCT PRON VERB,True,True
1711,TV,True,Context carries tense rather than verb.,PRON,PUNCT PRON AUX,PRON AUX,PRON AUX ADV,False,False
1712,TV,True,Context carries tense rather than verb.,AUX,PRON AUX NOUN,AUX NOUN,AUX NOUN ADP,False,False
1713,FN,True,Missing plural,NOUN,AUX NOUN ADP,NOUN ADP,NOUN ADP NOUN,False,False
1714,AGN,True,Number error,NOUN,NOUN NOUN CCONJ,NOUN CCONJ,NOUN CCONJ NOUN,True,True
1715,AGN,True,Number error,NOUN,CCONJ NOUN DET,NOUN DET,NOUN DET VERB,True,True
1716,TV,True,Chinese would use word in the given context,VERB,DET VERB VERB,VERB VERB,VERB VERB ADP,False,False
1717,TV,True,English words map to the same Chinese word,VERB,CCONJ VERB PART,VERB PART,VERB PART VERB,True,True
1718,MD,True,Chinese has no articles and doesn't use classifiers in this situation,NOUN,AUX NOUN PART,NOUN PART,NOUN PART VERB,True,True
1719,MD,True,Chinese has no articles and doesn't use classifiers in this situation,NOUN,ADP NOUN NOUN,NOUN NOUN,NOUN NOUN PRON,True,True
1720,AGN,False,Overcorrection,NOUN,DET NOUN ADP,NOUN ADP,NOUN ADP NOUN,False,True
1721,AGN,True,Number error,NOUN,ADP NOUN ADP,NOUN ADP,NOUN ADP NOUN,False,False
1722,TV,True,English words map to the same Chinese word,VERB,CCONJ VERB PART,VERB PART,VERB PART VERB,True,True
1723,MD,True,Chinese has no articles and doesn't use classifiers in this situation,NOUN,ADP NOUN NOUN,NOUN NOUN,NOUN NOUN PRON,True,True
1724,M,True,Chinese conventions conflict with English,NOUN,CCONJ NOUN ADJ,NOUN ADJ,NOUN ADJ SCONJ,False,False
1725,MD,True,Chinese has no articles and doesn't use classifiers in this situation,NOUN,AUX NOUN PART,NOUN PART,NOUN PART VERB,True,True
1730,FN,True,Missing plural,NOUN,ADP NOUN PART,NOUN PART,NOUN PART AUX,True,True
1731,UT,True,Chinese would use word in the given context,ADV,NOUN ADV ADV,ADV ADV,ADV ADV PUNCT,True,True
1739,UA,False,Overcorrection,PRON,VERB PRON SCONJ,PRON SCONJ,PRON SCONJ PRON,False,True
1740,TV,True,Context carries tense rather than verb.,VERB,PRON VERB DET,VERB DET,VERB DET ADJ,False,False
1741,TV,True,Context carries tense rather than verb.,ADJ,NOUN ADJ ADP,ADJ ADP,ADJ ADP NUM,False,False
1742,AGV,True,3rd person singular form used instead of 3rd person plural verb form,AUX,NOUN AUX ADJ,AUX ADJ,AUX ADJ PUNCT,False,False
1743,UV,False,Progressive aspect incorrectly applied,VERB,AUX VERB ADV,VERB ADV,VERB ADV PUNCT,True,False
1745,TV,False,Past tense used instead of past perfect,AUX,PRON AUX ADV,AUX ADV,AUX ADV ADJ,False,True
1747,DY,True,"Chinese verbs, adjectives, and nouns sometimes are the same",ADJ,CCONJ ADJ PUNCT,ADJ PUNCT,ADJ PUNCT CCONJ,False,False
1748,DY,True,"Chinese verbs, adjectives, and nouns sometimes are the same",NOUN,ADJ NOUN PUNCT,NOUN PUNCT,NOUN PUNCT ADV,False,False
1749,AGN,False,Plural version of word is confusing,NOUN,ADJ NOUN VERB,NOUN VERB,NOUN VERB PUNCT,True,False
1750,UY,False,Chinese equivalent sentence would use corrected equivalent as well,ADP,VERB ADP PUNCT,ADP PUNCT,ADP PUNCT PRON,False,True
1751,RP,True,Chinese uses commas to mark the end of a complete thought,PUNCT,VERB PUNCT PRON,PUNCT PRON,PUNCT PRON ADV,False,False
1752,UV,False,Unnecessary auxiliary added,AUX,PRON AUX ADV,AUX ADV,AUX ADV VERB,False,True
1753,UY,False,Word pair misunderstanding,ADP,VERB ADP PUNCT,ADP PUNCT,ADP PUNCT CCONJ,False,True
1754,DY,False,Spelling error,INTJ,CCONJ INTJ DET,INTJ DET,INTJ DET NOUN,False,True
1755,FV,False,Incorrectly using past tense,AUX,PART AUX DET,AUX DET,AUX DET NOUN,False,True
1756,RP,False,Overgeneralization of colon usage to introduce lists,PUNCT,NOUN PUNCT ADP,PUNCT ADP,PUNCT ADP DET,False,True
1758,MA,True,Chinese is a pro-drop language,ADV,CCONJ ADV VERB,ADV VERB,ADV VERB DET,True,True
1760,DY,True,"Chinese verbs, adjectives, and nouns sometimes are the same",ADJ,ADV ADJ SCONJ,ADJ SCONJ,ADJ SCONJ PRON,False,False
1761,RD,True,Chinese could use a classifier in this context,DET,PART DET ADJ,DET ADJ,DET ADJ NOUN,False,False
1762,UT,False,Overgeneralization of word pairs,ADV,NOUN ADV VERB,ADV VERB,ADV VERB ADP,True,False
1763,RD,False,Wrong determiner used,ADJ,VERB ADJ NOUN,ADJ NOUN,ADJ NOUN ADP,False,True
1764,AGV,False,Spelling error,VERB,PRON VERB NOUN,VERB NOUN,VERB NOUN ADP,False,True
1765,UT,False,Overcorrection,ADP,VERB ADP NOUN,ADP NOUN,ADP NOUN ADP,False,True
1766,MY,False,Error,PUNCT,AUX PUNCT ADV,PUNCT ADV,PUNCT ADV PUNCT,False,True
1767,DY,True,"Chinese verbs, adjectives, and nouns sometimes are the same",ADV,AUX ADV ADJ,ADV ADJ,ADV ADJ ADP,False,False
1770,AGN,True,Number error,ADJ,DET ADJ PUNCT,ADJ PUNCT,ADJ PUNCT PRON,False,False
1771,RP,False,Punctuation works the same in Chinese,PUNCT,ADJ PUNCT PUNCT,PUNCT PUNCT,PUNCT PUNCT ADV,False,True
1772,RD,False,Wrong determiner used,DET,DET DET NOUN,DET NOUN,DET NOUN VERB,True,False
1774,UD,False,Overcorrection,DET,DET DET NOUN,DET NOUN,DET NOUN AUX,False,True
1776,DN,False,Incorrect/incomplete expression used,NOUN,NOUN NOUN CCONJ,NOUN CCONJ,NOUN CCONJ DET,False,True
1777,AGN,False,Overcorrection,NOUN,ADJ NOUN ADP,NOUN ADP,NOUN ADP PROPN,False,True
1778,TV,False,-,AUX,PRON AUX VERB,AUX VERB,AUX VERB PART,False,True
1781,UT,False,Verb/word prior of the preposition conveys the same message,ADP,VERB ADP DET,ADP DET,ADP DET ADJ,False,True
1782,RP,False,Overcorrection,PUNCT,PROPN PUNCT DET,PUNCT DET,PUNCT DET NOUN,False,True
1785,UA,False,general grammar rules confusion,PRON,SCONJ PRON PRON,PRON PRON,PRON PRON AUX,False,True
1788,RP,False,Inappropriate capitalization in the middle of sentence,PROPN,DET PROPN ADP,PROPN ADP,PROPN ADP DET,False,True
1790,DJ,True,"Chinese verbs, adjectives, and nouns sometimes are the same",VERB,PART VERB ADP,VERB ADP,VERB ADP DET,False,False
1793,TV,True,Modal used for polite speech,VERB,PRON VERB VERB,VERB VERB,VERB VERB VERB,True,True
1794,DN,True,"Chinese verbs, adjectives, and nouns sometimes are the same",VERB,DET VERB ADP,VERB ADP,VERB ADP NOUN,False,False
1795,UD,False,Chinese doesn't distinguish indefinite and definite articles like English,DET,ADP DET NOUN,DET NOUN,DET NOUN SCONJ,False,True
1796,RD,False,Wrong determiner used since Chinese doesn't use determiner here,DET,VERB DET ADJ,DET ADJ,DET ADJ NOUN,False,True
1798,DA,False,Using your instead of yours for sign offs,DET,DET ADV,DET ADV,DET ADV PUNCT,False,True
1799,TV,True,Progressive aspect mistaken as present tense; Chinese generally uses present tense for actions,NOUN,AUX NOUN ADP,NOUN ADP,NOUN ADP NOUN,False,False
1800,UP,False,Error that native speakers would make as well,PUNCT,SCONJ PUNCT NOUN,PUNCT NOUN,PUNCT NOUN ADP,False,True
1801,TV,True,Context carries tense rather than verb.,VERB,ADJ VERB NOUN,VERB NOUN,VERB NOUN PART,True,True
1802,UD,False,Overcorrection,DET,PUNCT DET NOUN,DET NOUN,DET NOUN ADP,False,True
1803,AGV,True,3rd person singular form used instead of 3rd person plural verb form,AUX,DET AUX DET,AUX DET,AUX DET NOUN,False,False
1804,MD,True,Chinese has no articles and doesn't use classifiers in this situation,NOUN,AUX NOUN ADP,NOUN ADP,NOUN ADP DET,False,False
1806,DY,True,English words map to the same Chinese word,ADV,VERB ADV VERB,ADV VERB,ADV VERB NOUN,True,True
1808,MD,True,Chinese has no articles and doesn't use classifiers in this situation,NOUN,ADP NOUN CCONJ,NOUN CCONJ,NOUN CCONJ DET,False,False
1809,UD,False,Overcorrection,DET,ADP DET NOUN,DET NOUN,DET NOUN NOUN,False,True
1810,MP,False,-,DET,PRON DET NOUN,DET NOUN,DET NOUN AUX,False,True
1813,DY,True,"Chinese verbs, adjectives, and nouns sometimes are the same",ADJ,DET ADJ VERB,ADJ VERB,ADJ VERB NOUN,True,True
1814,RD,False,Wrong determiner used since Chinese doesn't use determiner here,DET,AUX DET NOUN,DET NOUN,DET NOUN CCONJ,False,True
1815,RD,False,Wrong determiner used since Chinese doesn't use determiner here,DET,AUX DET NOUN,DET NOUN,DET NOUN CCONJ,False,True
1817,TV,True,Confusion that auxiliary tense needs to match with past participle tense,AUX,PROPN AUX VERB,AUX VERB,AUX VERB ADJ,False,False
1818,DJ,True,"Chinese verbs, adjectives, and nouns sometimes are the same",NOUN,ADV NOUN PART,NOUN PART,NOUN PART VERB,True,True
1821,MD,True,Chinese has no articles and doesn't use classifiers in this situation,NOUN,AUX NOUN PUNCT,NOUN PUNCT,NOUN PUNCT PRON,True,True
1824,UD,False,Overcorrection,DET,ADP DET NOUN,DET NOUN,DET NOUN PUNCT,False,True
1825,FV,False,Incorrectly using past tense,VERB,AUX VERB PRON,VERB PRON,VERB PRON ADP,False,True
1826,MT,True,Chinese doesn't use the word in this context,DET,VERB DET ADJ,DET ADJ,DET ADJ NOUN,False,False
1827,CN,True,Chinese does not distinguish between mass and count nouns,NOUN,ADJ NOUN PUNCT,NOUN PUNCT,NOUN PUNCT DET,False,False
1828,RP,False,Punctuation works the same in Chinese,PUNCT,NOUN PUNCT DET,PUNCT DET,PUNCT DET NOUN,False,True
1830,RP,True,Word not capitalized,ADV,PUNCT ADV ADP,ADV ADP,ADV ADP DET,False,False
1831,TV,True,Modal used for polite speech,VERB,PUNCT VERB PRON,VERB PRON,VERB PRON VERB,True,True
1832,RP,False,Punctuation works the same in Chinese,PUNCT,NOUN PUNCT DET,PUNCT DET,PUNCT DET NOUN,False,True
1835,MP,True,Chinese uses commas to mark the end of a complete thought,DET,VERB DET AUX,DET AUX,DET AUX ADV,False,False
1836,MV,True,Chinese does not have auxiliary verbs,SCONJ,DET SCONJ NOUN,SCONJ NOUN,SCONJ NOUN PUNCT,False,False
1838,RP,False,Error that native speakers would make as well,PUNCT,VERB PUNCT PRON,PUNCT PRON,PUNCT PRON VERB,True,False
1839,MA,True,Chinese is a pro-drop language,VERB,PUNCT VERB PRON,VERB PRON,VERB PRON AUX,False,False
1841,MV,True,Chinese conventions conflict with English,ADV,PRON ADV ADJ,ADV ADJ,ADV ADJ ADP,False,False
1843,MA,False,Chinese expresses this in a different order/structure,VERB,NOUN VERB AUX,VERB AUX,VERB AUX VERB,False,True
1844,MD,True,Chinese has no articles and doesn't use classifiers in this situation,VERB,VERB VERB PUNCT,VERB PUNCT,VERB PUNCT PRON,True,True
