,incorrect_trigram_penn,error_type,count
771,NNP . IN,MD,1
770,NNP . CC,S,1
796,NNP NNS IN,DN,1
797,"NNP POS ,",UP,1
800,NNP PRP$ NN,S,1
816,NNP VBZ PRP$,W,1
825,"NNS , IN",MD,1
85,CD NNS NN,FJ,1
823,"NNS , DT",S,1
822,"NNS , DT",IN,1
821,"NNS , DT",AGN,1
820,"NNS , .",S,1
819,"NNPS , RB",RP,1
818,"NNPS , :",AGN,1
817,NNP VBZ TO,RP,1
815,NNP VBZ PRP$,S,1
801,NNP RB IN,S,1
814,NNP VBZ PRP$,RP,1
813,NNP VBZ NNS,W,1
808,NNP VBG IN,MT,1
807,NNP VBG DT,S,1
806,NNP VBD IN,S,1
805,NNP VBD DT,S,1
804,NNP VBD DT,MP,1
803,NNP RB PRP,MD,1
802,NNP RB JJ,UP,1
769,NNP . CC,RP,1
767,"NNP , VBP",S,1
766,"NNP , UH",RP,1
720,NN VBD IN,RN,1
731,NN VBG IN,S,1
730,NN VBG IN,M,1
729,NN VBD TO,S,1
728,NN VBD TO,RN,1
727,NN VBD TO,AGN,1
726,NN VBD NN,MD,1
723,NN VBD JJ,DN,1
722,NN VBD JJ,AGN,1
88,DT . _,UA,1
719,NN VBD IN,R,1
733,NN VBP CC,AGN,1
718,NN VBD IN,MD,1
717,NN VBD DT,RN,1
716,NN VBD DT,MD,1
715,NN VB IN,SX,1
714,NN TO VB,TV,1
712,NN TO VB,RV,1
90,DT CD NNS,UD,1
710,NN TO VB,R,1
707,NN TO VB,FV,1
732,NN VBG IN,UP,1
734,NN VBP DT,RN,1
765,"NNP , RB",RP,1
754,NN WRB RB,R,1
764,"NNP , RB",MT,1
763,"NNP , NN",SX,1
762,"NNP , IN",UN,1
760,"NNP , IN",MD,1
759,"NNP , DT",S,1
758,"NNP , DT",RP,1
757,"NNP , .",RP,1
756,NNP '' IN,UN,1
755,NN WRB RB,S,1
753,NN WDT VBP,AGN,1
735,"NN VBZ ,",W,1
752,NN WDT PRP,UN,1
750,NN WDT PRP,RN,1
748,NN WDT DT,S,1
745,NN VBZ NN,AGV,1
744,NN VBZ JJ,SA,1
86,CD NNS PRP,MD,1
740,NN VBZ IN,DN,1
739,NN VBZ DT,SX,1
737,NN VBZ DT,RN,1
827,"NNS , NNP",S,1
830,"NNS , RB",IN,1
940,PRP CD CC,UA,1
831,"NNS , RB",RN,1
911,NNS VBP IN,MP,1
910,NNS VBP DT,R,1
909,NNS VBP DT,MD,1
908,NNS VBG NNS,RN,1
907,NNS VBD TO,RP,1
906,NNS VBD TO,RN,1
905,NNS VBD JJ,RN,1
904,NNS VBD JJ,MD,1
903,NNS VBD IN,S,1
902,NNS VBD IN,RN,1
901,NNS TO VB,S,1
900,NNS TO VB,RN,1
899,NNS TO VB,MQ,1
898,NNS TO VB,IA,1
897,NNS TO VB,FN,1
896,NNS RB _,S,1
895,NNS RB VBP,MP,1
894,NNS RB JJ,W,1
893,NNS RB JJ,IQ,1
892,NNS PRP VBZ,FN,1
891,NNS PRP VBP,S,1
912,NNS VBP IN,RN,1
913,NNS VBP IN,S,1
914,NNS VBP TO,MV,1
928,PDT DT NN,MT,1
939,PRP CC TO,UA,1
938,PRP . _,UA,1
936,PRP . _,R,1
83,CD NNS IN,W,1
934,"PRP , .",R,1
933,PDT DT VBZ,U,1
932,PDT DT NN,X,1
930,PDT DT NN,UQ,1
929,PDT DT NN,UD,1
927,PDT DT NN,MN,1
915,NNS VBZ DT,RN,1
926,PDT DT NN,MA,1
925,PDT DT NN,ID,1
924,NNS WDT PRP,S,1
922,NNS WDT PRP,MD,1
921,NNS WDT PRP,M,1
920,NNS WDT PRP,IN,1
918,NNS VBZ PRP$,RN,1
917,NNS VBZ JJ,S,1
916,NNS VBZ IN,FN,1
890,NNS PRP VBP,RN,1
889,NNS PRP VBP,IJ,1
888,NNS PRP VBP,DN,1
844,NNS CC DT,W,1
854,NNS IN NN,MD,1
852,NNS IN IN,AGN,1
851,NNS FW .,RN,1
850,NNS CD CC,W,1
849,NNS CC TO,RN,1
848,NNS CC IN,SA,1
847,NNS CC IN,S,1
846,NNS CC IN,FN,1
845,NNS CC IN,CN,1
842,NNS CC DT,M,1
859,NNS IN NNP,R,1
841,NNS CC DT,FN,1
840,NNS CC DT,CN,1
838,NNS . IN,S,1
837,NNS . IN,RN,1
836,NNS . IN,FN,1
835,NNS . IN,AGN,1
834,"NNS , VBP",MC,1
833,"NNS , VBD",FN,1
832,"NNS , RB",S,1
855,NNS IN NN,MQ,1
861,NNS IN NNS,AGN,1
887,NNS PRP VBP,CN,1
874,NNS NN IN,MP,1
885,NNS NNS RB,IJ,1
884,NNS NNS PDT,CN,1
883,NNS NNS IN,IQ,1
84,CD NNS JJ,IJ,1
879,NNS NNS .,IJ,1
878,NNS NNS .,AGN,1
877,NNS NNP CC,W,1
876,"NNS NNP ,",FN,1
875,NNS NN IN,R,1
873,NNS NN IN,FN,1
862,NNS IN NNS,IN,1
872,NNS JJ JJ,S,1
871,NNS JJ CC,S,1
869,NNS IN WRB,FV,1
868,NNS IN WP,MQ,1
867,NNS IN VBD,RN,1
866,NNS IN RB,MD,1
865,NNS IN NNS,UQ,1
864,NNS IN NNS,S,1
863,NNS IN NNS,M,1
978,PRP VBD .,MA,1
